Indicator,S.No.,Parameters,Type,SubDistrict - _South - Total [(A+B) or (C+D)],SubDistrict - _South - Public [A],SubDistrict - _South - Private [B],SubDistrict - _South - Urban [C],SubDistrict - _South - Rural [D],SubDistrict - Autonomous - Total [(A+B) or (C+D)],SubDistrict - Autonomous - Public [A],SubDistrict - Autonomous - Private [B],SubDistrict - Autonomous - Urban [C],SubDistrict - Autonomous - Rural [D],SubDistrict - CGHS - Total [(A+B) or (C+D)],SubDistrict - CGHS - Public [A],SubDistrict - CGHS - Private [B],SubDistrict - CGHS - Urban [C],SubDistrict - CGHS - Rural [D],SubDistrict - Delhi Govt - Total [(A+B) or (C+D)],SubDistrict - Delhi Govt - Public [A],SubDistrict - Delhi Govt - Private [B],SubDistrict - Delhi Govt - Urban [C],SubDistrict - Delhi Govt - Rural [D],SubDistrict - ESI - Total [(A+B) or (C+D)],SubDistrict - ESI - Public [A],SubDistrict - ESI - Private [B],SubDistrict - ESI - Urban [C],SubDistrict - ESI - Rural [D],SubDistrict - IPP VIII-MCD - Total [(A+B) or (C+D)],SubDistrict - IPP VIII-MCD - Public [A],SubDistrict - IPP VIII-MCD - Private [B],SubDistrict - IPP VIII-MCD - Urban [C],SubDistrict - IPP VIII-MCD - Rural [D],SubDistrict - MCW Centres MCD - Total [(A+B) or (C+D)],SubDistrict - MCW Centres MCD - Public [A],SubDistrict - MCW Centres MCD - Private [B],SubDistrict - MCW Centres MCD - Urban [C],SubDistrict - MCW Centres MCD - Rural [D],SubDistrict - Private - Total [(A+B) or (C+D)],SubDistrict - Private - Public [A],SubDistrict - Private - Private [B],SubDistrict - Private - Urban [C],SubDistrict - Private - Rural [D]
M8 [Family Planning],8.17.4,Failures following female sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M8 [Family Planning],8.17.5,Deaths following male sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M8 [Family Planning],8.17.6,Deaths following female sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M9 [CHILD IMMUNISATION],9.1.1,Child immunisation - Vitamin K1 (Birth Dose),TOTAL,586,262,324,238,348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262,262,NA,NA,262,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,NA,324,NA,324,238,86
M9 [CHILD IMMUNISATION],9.1.2,Child immunisation - BCG,TOTAL,902,569,333,339,563,174,174,NA,NA,174,0,0,NA,0,NA,311,311,NA,49,262,0,0,NA,0,NA,18,18,NA,18,NA,66,66,NA,31,35,333,NA,333,241,92
M9 [CHILD IMMUNISATION],9.1.3,Child immunisation - DPT1,TOTAL,93,8,85,62,31,0,0,NA,NA,0,0,0,NA,0,NA,6,6,NA,5,1,0,0,NA,0,NA,0,0,NA,0,NA,2,2,NA,1,1,85,NA,85,56,29
M9 [CHILD IMMUNISATION],9.1.4,Child immunisation - DPT2,TOTAL,64,7,57,43,21,0,0,NA,NA,0,1,1,NA,1,NA,3,3,NA,3,0,0,0,NA,0,NA,0,0,NA,0,NA,3,3,NA,3,0,57,NA,57,36,21
M9 [CHILD IMMUNISATION],9.1.5,Child immunisation - DPT3,TOTAL,43,6,37,36,7,0,0,NA,NA,0,0,0,NA,0,NA,5,5,NA,5,0,0,0,NA,0,NA,0,0,NA,0,NA,1,1,NA,1,0,37,NA,37,30,7
M9 [CHILD IMMUNISATION],9.1.6,Child immunisation - Pentavalent 1,TOTAL,1179,1070,109,783,396,119,119,NA,NA,119,4,4,NA,4,NA,512,512,NA,395,117,6,6,NA,6,NA,52,52,NA,52,NA,377,377,NA,227,150,109,NA,109,99,10
M9 [CHILD IMMUNISATION],9.1.7,Child immunisation - Pentavalent 2,TOTAL,1274,1194,80,962,312,68,68,NA,NA,68,8,8,NA,8,NA,576,576,NA,493,83,6,6,NA,6,NA,74,74,NA,74,NA,462,462,NA,318,144,80,NA,80,63,17
M9 [CHILD IMMUNISATION],9.1.8,Child immunisation - Pentavalent 3,TOTAL,1404,1334,70,1093,311,67,67,NA,NA,67,10,10,NA,10,NA,656,656,NA,576,80,4,4,NA,4,NA,74,74,NA,74,NA,523,523,NA,370,153,70,NA,70,59,11
M9 [CHILD IMMUNISATION],9.1.9,Child immunisation - OPV 0 (Birth Dose),TOTAL,809,472,337,266,543,169,169,NA,NA,169,0,0,NA,0,NA,267,267,NA,5,262,2,2,NA,2,NA,14,14,NA,14,NA,20,20,NA,0,20,337,NA,337,245,92
M9 [CHILD IMMUNISATION],9.1.10,Child immunisation - OPV1,TOTAL,1155,1066,89,738,417,119,119,NA,NA,119,4,4,NA,4,NA,518,518,NA,400,118,7,7,NA,7,NA,52,52,NA,52,NA,366,366,NA,215,151,89,NA,89,60,29
M9 [CHILD IMMUNISATION],9.1.11,Child immunisation - OPV2,TOTAL,1233,1156,77,917,316,68,68,NA,NA,68,8,8,NA,8,NA,579,579,NA,496,83,4,4,NA,4,NA,74,74,NA,74,NA,423,423,NA,279,144,77,NA,77,56,21
M9 [CHILD IMMUNISATION],9.1.12,Child immunisation - OPV3,TOTAL,1370,1307,63,1063,307,67,67,NA,NA,67,10,10,NA,10,NA,661,661,NA,581,80,5,5,NA,5,NA,74,74,NA,74,NA,490,490,NA,337,153,63,NA,63,56,7
M9 [CHILD IMMUNISATION],9.1.13,Child immunisation - Hepatitis-B0 (Birth Dose),TOTAL,711,478,233,238,473,197,197,NA,NA,197,NA,NA,NA,NA,NA,257,257,NA,2,255,0,0,NA,0,NA,9,9,NA,9,NA,15,15,NA,0,15,233,NA,233,227,6
M9 [CHILD IMMUNISATION],9.1.14,Child immunisation - Hepatitis-B1,TOTAL,60,1,59,59,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,59,NA,59,59,0
M9 [CHILD IMMUNISATION],9.1.15,Child immunisation - Hepatitis-B2,TOTAL,52,1,51,49,3,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,1,1,NA,1,0,51,NA,51,48,3
M9 [CHILD IMMUNISATION],9.1.16,Child immunisation - Hepatitis-B3,TOTAL,35,1,34,32,3,1,1,NA,NA,1,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,34,NA,34,32,2
M9 [CHILD IMMUNISATION],9.1.17,Child immunisation - Inactivated Polio Vaccine 1 (IPV 1),TOTAL,1113,1058,55,726,387,120,120,NA,NA,120,2,2,NA,2,NA,500,500,NA,383,117,7,7,NA,7,NA,52,52,NA,52,NA,377,377,NA,227,150,55,NA,55,55,0
M9 [CHILD IMMUNISATION],9.1.18,Child immunisation - Inactivated Polio Vaccine 2 (IPV 2),TOTAL,1400,1336,64,1087,313,69,69,NA,NA,69,6,6,NA,6,NA,656,656,NA,573,83,5,5,NA,5,NA,74,74,NA,74,NA,526,526,NA,374,152,64,NA,64,55,9
M9 [CHILD IMMUNISATION],9.1.19,Child immunisation - Rotavirus 1,TOTAL,121,0,121,86,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,NA,121,NA,121,86,35
M9 [CHILD IMMUNISATION],9.1.20,Child immunisation - Rotavirus 2,TOTAL,97,0,97,64,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,NA,97,NA,97,64,33
M9 [CHILD IMMUNISATION],9.1.21,Child immunisation - Rotavirus 3,TOTAL,69,0,69,56,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,NA,69,NA,69,56,13
M9 [CHILD IMMUNISATION],9.2.1,Child immunisation (9-11months) - Measles & Rubella (MR)- 1st Dose,TOTAL,1659,1601,58,1242,417,88,88,NA,NA,88,2,2,NA,2,NA,796,796,NA,677,119,13,13,NA,13,NA,90,90,NA,90,NA,612,612,NA,402,210,58,NA,58,58,0
M9 [CHILD IMMUNISATION],9.2.2,Child immunisation (9-11months) - Measles 1st dose,TOTAL,29,0,29,29,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,NA,29,NA,29,29,0
M9 [CHILD IMMUNISATION],9.2.3,Child immunisation (9-11months) - JE 1st dose,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M9 [CHILD IMMUNISATION],9.2.4.a,Children aged between 9 and 11 months fully immunized- Male,TOTAL,823,795,28,645,178,0,0,NA,NA,0,1,1,NA,1,NA,422,422,NA,351,71,5,5,NA,5,NA,46,46,NA,46,NA,321,321,NA,214,107,28,NA,28,28,0
M9 [CHILD IMMUNISATION],9.2.4.b,Children aged between 9 and 11 months fully immunized - Female,TOTAL,716,695,21,567,149,0,0,NA,NA,0,1,1,NA,1,NA,368,368,NA,320,48,4,4,NA,4,NA,44,44,NA,44,NA,278,278,NA,177,101,21,NA,21,21,0
M9 [CHILD IMMUNISATION],9.3.1,Child immunisation - Measles & Rubella (MR)- 1st Dose,TOTAL,61,50,11,58,3,0,0,NA,NA,0,11,11,NA,11,NA,19,19,NA,19,0,NA,NA,NA,NA,NA,4,4,NA,4,NA,16,16,NA,13,3,11,NA,11,11,0
M9 [CHILD IMMUNISATION],9.3.2,Child immunisation - Measles-1st dose,TOTAL,6,2,4,6,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,2,2,NA,2,NA,0,0,NA,0,NA,4,NA,4,4,0
M9 [CHILD IMMUNISATION],9.3.3,Child immunisation - JE 1st dose,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M9 [CHILD IMMUNISATION],9.4.1,Child immunisation - Measles & Rubella (MR)- 2nd Dose (16-24 months),TOTAL,1343,1335,8,1023,320,58,58,NA,NA,58,13,13,NA,13,NA,681,681,NA,584,97,9,9,NA,9,NA,44,44,NA,44,NA,530,530,NA,365,165,8,NA,8,8,0
M9 [CHILD IMMUNISATION],9.4.2,Child immunisation - Measles 2nd dose (More than 16 months),TOTAL,4,0,4,4,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,NA,4,NA,4,4,0
M9 [CHILD IMMUNISATION],9.4.3,Child immunisation - DPT 1st Booster,TOTAL,1491,1400,91,1168,323,66,66,NA,NA,66,15,15,NA,15,NA,701,701,NA,629,72,1,1,NA,1,NA,82,82,NA,82,NA,535,535,NA,373,162,91,NA,91,68,23
M9 [CHILD IMMUNISATION],9.4.4,Child immunisation - OPV Booster,TOTAL,1519,1444,75,1148,371,114,114,NA,NA,114,9,9,NA,9,NA,701,701,NA,629,72,3,3,NA,3,NA,82,82,NA,82,NA,535,535,NA,373,162,75,NA,75,52,23
M9 [CHILD IMMUNISATION],9.4.5,"Child immunisation - Measles, Mumps, Rubella (MMR) Vaccine",TOTAL,149,18,131,90,59,0,0,NA,NA,0,0,0,NA,0,NA,18,18,NA,11,7,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,0,131,NA,131,79,52
M9 [CHILD IMMUNISATION],9.4.6,Number of children more than 16 months of age who received Japanese Encephalitis (JE) vaccine,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M9 [CHILD IMMUNISATION],9.5.1,Child immunisation - Typhoid,TOTAL,208,48,160,108,100,48,48,NA,NA,48,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,0,160,NA,160,108,52
M9 [CHILD IMMUNISATION],9.5.2,Children more than 5 years received DPT5 (2nd Booster),TOTAL,1352,1259,93,1043,309,83,83,NA,NA,83,8,8,NA,8,NA,620,620,NA,553,67,5,5,NA,5,NA,75,75,NA,75,NA,468,468,NA,337,131,93,NA,93,65,28
M9 [CHILD IMMUNISATION],9.5.3,Children more than 10 years received TT10,TOTAL,225,194,31,137,88,54,54,NA,NA,54,15,15,NA,15,NA,93,93,NA,59,34,3,3,NA,3,NA,3,3,NA,3,NA,26,26,NA,26,0,31,NA,31,31,0
M9 [CHILD IMMUNISATION],9.5.4,Children more than 16 years received TT16,TOTAL,62,48,14,29,33,20,20,NA,NA,20,3,3,NA,3,NA,21,21,NA,8,13,3,3,NA,3,NA,0,0,NA,0,NA,1,1,NA,1,0,14,NA,14,14,0
M9 [CHILD IMMUNISATION],9.6.1,Number of cases of AEFI - Abscess,TOTAL,1,1,0,1,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,1,1,NA,1,0,0,NA,0,0,0
M9 [CHILD IMMUNISATION],9.6.2,Number of cases of AEFI - Death,TOTAL,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,0,0,NA,0,0,0
M9 [CHILD IMMUNISATION],9.6.3,Number of cases of AEFI - Others,TOTAL,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,0,0,NA,0,0,0
M9 [CHILD IMMUNISATION],9.7.1,Immunisation sessions planned,TOTAL,508,472,36,443,65,9,9,NA,NA,9,24,24,NA,24,NA,211,211,NA,181,30,6,6,NA,6,NA,36,36,NA,36,NA,186,186,NA,160,26,36,NA,36,36,0
M9 [CHILD IMMUNISATION],9.7.2,Immunisation sessions held,TOTAL,482,447,35,417,65,9,9,NA,NA,9,10,10,NA,10,NA,206,206,NA,176,30,5,5,NA,5,NA,36,36,NA,36,NA,181,181,NA,155,26,35,NA,35,35,0
M9 [CHILD IMMUNISATION],9.7.3,Number of Immunisation sessions where ASHAs were present,TOTAL,304,304,0,278,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,158,NA,158,0,NA,NA,NA,NA,NA,22,22,NA,22,NA,124,124,NA,98,26,0,NA,0,0,0
M9 [CHILD IMMUNISATION],9.8.1,Child immunisation - Vitamin A Dose - 1,TOTAL,13,1,12,13,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,1,1,NA,1,0,12,NA,12,12,0
M9 [CHILD IMMUNISATION],9.8.2,Child immunisation - Vitamin A Dose - 5,TOTAL,3,0,3,3,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,3,NA,3,3,0
M9 [CHILD IMMUNISATION],9.8.3,Child immunisation - Vitamin A Dose - 9,TOTAL,1,0,1,1,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,1,NA,1,1,0
M9 [CHILD IMMUNISATION],9.9,Number of children (6-59 months) provided 8-10 doses (1ml) of IFA syrup (Bi weekly),TOTAL,3,0,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,3,NA,3,3,NA
M9 [CHILD IMMUNISATION],9.1,Number of children (12-59 months) provided Albendazole,TOTAL,653,653,0,114,539,19,19,NA,NA,19,NA,NA,NA,NA,NA,291,291,NA,41,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,343,343,NA,73,270,0,NA,0,0,NA
M9 [CHILD IMMUNISATION],9.11,Number of severely underweight children provided Health Checkup (0-5 yrs),TOTAL,17,17,0,8,9,6,6,NA,NA,6,NA,NA,NA,NA,NA,6,6,NA,6,0,2,2,NA,2,NA,NA,NA,NA,NA,NA,3,3,NA,0,3,0,NA,0,0,0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.1,Childhood Diseases - Pneumonia,TOTAL,34,17,17,11,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,NA,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,4,17,NA,17,11,6
M10 [Number of cases of Childhood Diseases (0-5 years)],10.2,Childhood Diseases - Asthma,TOTAL,13,1,12,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,12,12,0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.3,Childhood Diseases - Sepsis,TOTAL,15,11,4,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,NA,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,0,4
M10 [Number of cases of Childhood Diseases (0-5 years)],10.4,Childhood Diseases - Diphtheria,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.5,Childhood Diseases - Pertussis,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.6,Childhood Diseases - Tetanus Neonatorum,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.7,Childhood Diseases - Tuberculosis (TB),TOTAL,2,1,1,1,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.8,Childhood Diseases - Acute Flaccid Paralysis(AFP),TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.9,Childhood Diseases - Measles,TOTAL,2,2,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.1,Childhood Diseases - Malaria,TOTAL,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.11,Childhood Diseases - Diarrhoea,TOTAL,689,528,161,287,402,3,3,NA,NA,3,NA,NA,NA,NA,NA,380,380,NA,135,245,NA,NA,NA,NA,NA,0,0,NA,0,NA,145,145,NA,0,145,161,NA,161,152,9
M10 [Number of cases of Childhood Diseases (0-5 years)],10.12,Childhood Diseases - Diarrhoea treated in Inpatients,TOTAL,60,22,38,29,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,22,NA,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,38,29,9
M10 [Number of cases of Childhood Diseases (0-5 years)],10.13,Children admitted with upper respiratory infections,TOTAL,14,1,13,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,13,10,3
M10 [Number of cases of Childhood Diseases (0-5 years)],10.14,Childhood Diseases - Severe Acute Malnutrition (SAM),TOTAL,4,4,0,0,4,3,3,NA,NA,3,NA,NA,NA,NA,NA,1,1,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,0,0,0
M11 [NVBDCP],11.1.1.a,Total Blood Smears Examined for Malaria,TOTAL,856,220,636,275,581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220,220,NA,NA,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,636,NA,636,275,361
M11 [NVBDCP],11.1.1.b,Malaria (Microscopy Tests ) - Plasmodium Vivax test positive,TOTAL,21,18,3,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,18,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,0,3
M11 [NVBDCP],11.1.1.c,Malaria (Microscopy Tests ) - Plasmodium Falciparum test positive,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M11 [NVBDCP],11.1.2.a,RDT conducted for Malaria,TOTAL,269,7,262,222,47,7,7,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,262,NA,262,222,40
M11 [NVBDCP],11.1.2.b,Malaria (RDT) - Plasmodium Vivax test positive,TOTAL,1,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1
M11 [NVBDCP],11.1.2.c,Malaria (RDT) - Plamodium Falciparum test positive,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M11 [NVBDCP],11.2.1,Kala Azar (RDT) - Tests Conducted,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M11 [NVBDCP],11.2.2,Kala Azar Positive Cases,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M11 [NVBDCP],11.2.3,Post-kala-azar dermal leishmaniasis (PKDL) cases,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M11 [NVBDCP],11.3.1,Dengue - RDT Test Positive,TOTAL,29,22,7,3,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,22,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,7,3,4
M11 [NVBDCP],11.3.2,Dengue - Enzyme- Linked Immuno Sorbent Assay (ELISA) Test Positive,TOTAL,32,32,0,0,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,32,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M11 [NVBDCP],11.4.1,Tests Conducted for JE,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M11 [NVBDCP],11.4.2,Tests Positive for JE,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M12 [Adolscent Health],12.1.1.a,Girls registered in AFHC,TOTAL,39,39,0,7,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,37,NA,5,32,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,0,NA,0,0,0
M12 [Adolscent Health],12.1.1.b,Boys registered in AFHC,TOTAL,4,4,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,3,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M12 [Adolscent Health],12.1.2.a,"Out of registered, Girls received clinical services",TOTAL,25,25,0,7,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,23,NA,5,18,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,0,NA,0,0,0
M12 [Adolscent Health],12.1.2.b,"Out of registered, Boys received clinical services",TOTAL,4,4,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,3,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M12 [Adolscent Health],12.1.3.a,"Out of registered, Girls received counselling",TOTAL,34,34,0,2,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,32,NA,NA,32,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,0,NA,0,0,0
M12 [Adolscent Health],12.1.3.b,"Out of registered, Boys received counselling",TOTAL,1,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
"M13 [Directly Observed Treatment, Short-course (DOTS)]",13.1,Number of on-going DOTS patients registered,TOTAL,513,503,10,365,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,501,501,NA,353,148,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,10,10,0
