Indicator,S.No.,Parameters,Type,SubDistrict - _South - Total [(A+B) or (C+D)],SubDistrict - _South - Public [A],SubDistrict - _South - Private [B],SubDistrict - _South - Urban [C],SubDistrict - _South - Rural [D],SubDistrict - Autonomous - Total [(A+B) or (C+D)],SubDistrict - Autonomous - Public [A],SubDistrict - Autonomous - Private [B],SubDistrict - Autonomous - Urban [C],SubDistrict - Autonomous - Rural [D],SubDistrict - CGHS - Total [(A+B) or (C+D)],SubDistrict - CGHS - Public [A],SubDistrict - CGHS - Private [B],SubDistrict - CGHS - Urban [C],SubDistrict - CGHS - Rural [D],SubDistrict - Delhi Govt - Total [(A+B) or (C+D)],SubDistrict - Delhi Govt - Public [A],SubDistrict - Delhi Govt - Private [B],SubDistrict - Delhi Govt - Urban [C],SubDistrict - Delhi Govt - Rural [D],SubDistrict - ESI - Total [(A+B) or (C+D)],SubDistrict - ESI - Public [A],SubDistrict - ESI - Private [B],SubDistrict - ESI - Urban [C],SubDistrict - ESI - Rural [D],SubDistrict - IPP VIII-MCD - Total [(A+B) or (C+D)],SubDistrict - IPP VIII-MCD - Public [A],SubDistrict - IPP VIII-MCD - Private [B],SubDistrict - IPP VIII-MCD - Urban [C],SubDistrict - IPP VIII-MCD - Rural [D],SubDistrict - MCW Centres MCD - Total [(A+B) or (C+D)],SubDistrict - MCW Centres MCD - Public [A],SubDistrict - MCW Centres MCD - Private [B],SubDistrict - MCW Centres MCD - Urban [C],SubDistrict - MCW Centres MCD - Rural [D],SubDistrict - NGO - Total [(A+B) or (C+D)],SubDistrict - NGO - Public [A],SubDistrict - NGO - Private [B],SubDistrict - NGO - Urban [C],SubDistrict - NGO - Rural [D],SubDistrict - Private - Total [(A+B) or (C+D)],SubDistrict - Private - Public [A],SubDistrict - Private - Private [B],SubDistrict - Private - Urban [C],SubDistrict - Private - Rural [D]
M8 [Family Planning],8.11,Injectable Contraceptive-Antara Program- Fourth or more than fourth,TOTAL,33,32,1,14,19,1,1,NA,NA,1,NA,NA,NA,NA,NA,14,14,NA,12,2,0,0,NA,0,NA,0,0,NA,0,NA,17,17,NA,1,16,NA,NA,NA,NA,NA,1,NA,1,1,NA
M8 [Family Planning],8.12,Number of Combined Oral Pill cycles distributed,TOTAL,935,922,13,801,134,46,46,NA,NA,46,5,5,NA,5,NA,456,456,NA,402,54,10,10,NA,10,NA,85,85,NA,85,NA,320,320,NA,286,34,NA,NA,NA,NA,NA,13,NA,13,13,NA
M8 [Family Planning],8.13,Number of Condom pieces distributed,TOTAL,52571,52571,0,39941,12630,6800,6800,NA,NA,6800,1740,1740,NA,1740,NA,21337,21337,NA,17837,3500,1060,1060,NA,1060,NA,3167,3167,NA,3167,NA,18467,18467,NA,16137,2330,NA,NA,NA,NA,NA,0,NA,0,0,NA
M8 [Family Planning],8.14,Number of Centchroman (weekly) pill strips distributed,TOTAL,387,387,0,345,42,0,0,NA,NA,0,2,2,NA,2,NA,287,287,NA,255,32,1,1,NA,1,NA,43,43,NA,43,NA,54,54,NA,44,10,NA,NA,NA,NA,NA,0,NA,0,0,NA
M8 [Family Planning],8.15,Number of Emergency Contraceptive Pills (ECP) given,TOTAL,208,208,0,189,19,6,6,NA,NA,6,0,0,NA,0,NA,99,99,NA,91,8,0,0,NA,0,NA,42,42,NA,42,NA,61,61,NA,56,5,NA,NA,NA,NA,NA,0,NA,0,0,NA
M8 [Family Planning],8.16,Number of Pregnancy Test Kits (PTK) used,TOTAL,1553,1479,74,1477,76,0,0,NA,NA,0,NA,NA,NA,NA,NA,805,805,NA,805,NA,3,3,NA,3,NA,93,93,NA,93,NA,578,578,NA,502,76,NA,NA,NA,NA,NA,74,NA,74,74,NA
M8 [Family Planning],8.17.1,Complications following male sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,NA
M8 [Family Planning],8.17.2,Complications following female sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,NA
M8 [Family Planning],8.17.3,Failures following male sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,NA
M8 [Family Planning],8.17.4,Failures following female sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,NA
M8 [Family Planning],8.17.5,Deaths following male sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,NA
M8 [Family Planning],8.17.6,Deaths following female sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,NA
M9 [CHILD IMMUNISATION],9.1.1,Child immunisation - Vitamin K1 (Birth Dose),TOTAL,1293,823,470,359,934,253,253,NA,NA,253,NA,NA,NA,NA,NA,570,570,NA,0,570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,NA,470,NA,470,359,111
M9 [CHILD IMMUNISATION],9.1.2,Child immunisation - BCG,TOTAL,1389,993,396,506,883,254,254,NA,NA,254,NA,NA,NA,NA,NA,617,617,NA,47,570,0,0,NA,0,NA,19,19,NA,19,NA,103,103,NA,66,37,25,NA,25,25,NA,371,NA,371,349,22
M9 [CHILD IMMUNISATION],9.1.3,Child immunisation - DPT1,TOTAL,106,4,102,59,47,0,0,NA,NA,0,1,1,NA,1,NA,1,1,NA,1,0,0,0,NA,0,NA,0,0,NA,0,NA,2,2,NA,2,0,NA,NA,NA,NA,NA,102,NA,102,55,47
M9 [CHILD IMMUNISATION],9.1.4,Child immunisation - DPT2,TOTAL,74,2,72,39,35,0,0,NA,NA,0,1,1,NA,1,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,1,1,NA,1,0,NA,NA,NA,NA,NA,72,NA,72,37,35
M9 [CHILD IMMUNISATION],9.1.5,Child immunisation - DPT3,TOTAL,60,0,60,35,25,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,60,NA,60,35,25
M9 [CHILD IMMUNISATION],9.1.6,Child immunisation - Pentavalent 1,TOTAL,1691,1562,129,1246,445,102,102,NA,NA,102,25,25,NA,25,NA,823,823,NA,666,157,9,9,NA,9,NA,67,67,NA,67,NA,536,536,NA,360,176,6,NA,6,6,NA,123,NA,123,113,10
M9 [CHILD IMMUNISATION],9.1.7,Child immunisation - Pentavalent 2,TOTAL,1700,1630,70,1356,344,81,81,NA,NA,81,14,14,NA,14,NA,836,836,NA,743,93,2,2,NA,2,NA,78,78,NA,78,NA,619,619,NA,458,161,4,NA,4,4,NA,66,NA,66,57,9
M9 [CHILD IMMUNISATION],9.1.8,Child immunisation - Pentavalent 3,TOTAL,1562,1515,47,1253,309,76,76,NA,NA,76,27,27,NA,27,NA,771,771,NA,691,80,7,7,NA,7,NA,68,68,NA,68,NA,566,566,NA,417,149,0,NA,0,0,NA,47,NA,47,43,4
M9 [CHILD IMMUNISATION],9.1.9,Child immunisation - OPV 0 (Birth Dose),TOTAL,1363,867,496,419,944,254,254,NA,NA,254,NA,NA,NA,NA,NA,568,568,NA,9,559,3,3,NA,3,NA,14,14,NA,14,NA,28,28,NA,9,19,28,NA,28,28,NA,468,NA,468,356,112
M9 [CHILD IMMUNISATION],9.1.10,Child immunisation - OPV1,TOTAL,1666,1558,108,1184,482,102,102,NA,NA,102,25,25,NA,25,NA,823,823,NA,666,157,3,3,NA,3,NA,67,67,NA,67,NA,538,538,NA,362,176,0,NA,0,0,NA,108,NA,108,61,47
M9 [CHILD IMMUNISATION],9.1.11,Child immunisation - OPV2,TOTAL,1701,1627,74,1331,370,81,81,NA,NA,81,14,14,NA,14,NA,834,834,NA,741,93,0,0,NA,0,NA,78,78,NA,78,NA,620,620,NA,459,161,1,NA,1,1,NA,73,NA,73,38,35
M9 [CHILD IMMUNISATION],9.1.12,Child immunisation - OPV3,TOTAL,1576,1510,66,1246,330,76,76,NA,NA,76,27,27,NA,27,NA,771,771,NA,691,80,2,2,NA,2,NA,68,68,NA,68,NA,566,566,NA,417,149,0,NA,0,0,NA,66,NA,66,41,25
M9 [CHILD IMMUNISATION],9.1.13,Child immunisation - Hepatitis-B0 (Birth Dose),TOTAL,1340,869,471,373,967,322,322,NA,NA,322,NA,NA,NA,NA,NA,524,524,NA,4,520,0,0,NA,0,NA,7,7,NA,7,NA,16,16,NA,3,13,28,NA,28,28,NA,443,NA,443,331,112
M9 [CHILD IMMUNISATION],9.1.14,Child immunisation - Hepatitis-B1,TOTAL,63,0,63,62,1,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,63,NA,63,62,1
M9 [CHILD IMMUNISATION],9.1.15,Child immunisation - Hepatitis-B2,TOTAL,37,0,37,37,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,37,NA,37,37,0
M9 [CHILD IMMUNISATION],9.1.16,Child immunisation - Hepatitis-B3,TOTAL,39,0,39,38,1,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,39,NA,39,38,1
M9 [CHILD IMMUNISATION],9.1.17,Child immunisation - Inactivated Polio Vaccine 1 (IPV 1),TOTAL,1653,1561,92,1208,445,102,102,NA,NA,102,32,32,NA,32,NA,815,815,NA,658,157,9,9,NA,9,NA,67,67,NA,67,NA,536,536,NA,360,176,NA,NA,NA,NA,NA,92,NA,92,82,10
M9 [CHILD IMMUNISATION],9.1.18,Child immunisation - Inactivated Polio Vaccine 2 (IPV 2),TOTAL,1564,1507,57,1253,311,74,74,NA,NA,74,29,29,NA,29,NA,763,763,NA,684,79,7,7,NA,7,NA,68,68,NA,68,NA,566,566,NA,417,149,NA,NA,NA,NA,NA,57,NA,57,48,9
M9 [CHILD IMMUNISATION],9.1.19,Child immunisation - Rotavirus 1,TOTAL,1590,1447,143,1191,399,13,13,NA,NA,13,23,23,NA,23,NA,811,811,NA,654,157,4,4,NA,4,NA,64,64,NA,64,NA,532,532,NA,356,176,0,NA,0,0,NA,143,NA,143,90,53
M9 [CHILD IMMUNISATION],9.1.20,Child immunisation - Rotavirus 2,TOTAL,1568,1471,97,1271,297,10,10,NA,NA,10,12,12,NA,12,NA,786,786,NA,694,92,0,0,NA,0,NA,70,70,NA,70,NA,593,593,NA,438,155,3,NA,3,3,NA,94,NA,94,54,40
M9 [CHILD IMMUNISATION],9.1.21,Child immunisation - Rotavirus 3,TOTAL,1330,1251,79,1084,246,6,6,NA,NA,6,19,19,NA,19,NA,663,663,NA,586,77,0,0,NA,0,NA,55,55,NA,55,NA,508,508,NA,369,139,1,NA,1,1,NA,78,NA,78,54,24
M9 [CHILD IMMUNISATION],9.2.1,Child immunisation (9-11months) - Measles & Rubella (MR)- 1st Dose,TOTAL,1410,1352,58,1174,236,64,64,NA,NA,64,41,41,NA,41,NA,681,681,NA,615,66,12,12,NA,12,NA,52,52,NA,52,NA,502,502,NA,396,106,NA,NA,NA,NA,NA,58,NA,58,58,NA
M9 [CHILD IMMUNISATION],9.2.2,Child immunisation (9-11months) - Measles 1st dose,TOTAL,10,1,9,10,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,9,NA,9,9,NA
M9 [CHILD IMMUNISATION],9.2.3,Child immunisation (9-11months) - JE 1st dose,TOTAL,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA
M9 [CHILD IMMUNISATION],9.2.4.a,Children aged between 9 and 11 months fully immunized- Male,TOTAL,701,672,29,591,110,8,8,NA,NA,8,21,21,NA,21,NA,334,334,NA,296,38,7,7,NA,7,NA,27,27,NA,27,NA,275,275,NA,211,64,0,NA,0,0,NA,29,NA,29,29,NA
M9 [CHILD IMMUNISATION],9.2.4.b,Children aged between 9 and 11 months fully immunized - Female,TOTAL,636,620,16,556,80,10,10,NA,NA,10,20,20,NA,20,NA,336,336,NA,308,28,5,5,NA,5,NA,25,25,NA,25,NA,224,224,NA,182,42,0,NA,0,0,NA,16,NA,16,16,NA
M9 [CHILD IMMUNISATION],9.3.1,Child immunisation - Measles & Rubella (MR)- 1st Dose,TOTAL,46,39,7,44,2,0,0,NA,NA,0,5,5,NA,5,NA,28,28,NA,28,0,NA,NA,NA,NA,NA,2,2,NA,2,NA,4,4,NA,2,2,NA,NA,NA,NA,NA,7,NA,7,7,NA
M9 [CHILD IMMUNISATION],9.3.2,Child immunisation - Measles-1st dose,TOTAL,1,0,1,1,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA
M9 [CHILD IMMUNISATION],9.3.3,Child immunisation - JE 1st dose,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA
M9 [CHILD IMMUNISATION],9.4.1,Child immunisation - Measles & Rubella (MR)- 2nd Dose (16-24 months),TOTAL,1398,1390,8,1191,207,53,53,NA,NA,53,5,5,NA,5,NA,802,802,NA,739,63,0,0,NA,0,NA,31,31,NA,31,NA,499,499,NA,408,91,NA,NA,NA,NA,NA,8,NA,8,8,NA
M9 [CHILD IMMUNISATION],9.4.2,Child immunisation - Measles 2nd dose (More than 16 months),TOTAL,67,61,6,32,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,26,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,35,NA,0,35,NA,NA,NA,NA,NA,6,NA,6,6,NA
M9 [CHILD IMMUNISATION],9.4.3,Child immunisation - DPT 1st Booster,TOTAL,1567,1494,73,1318,249,41,41,NA,NA,41,35,35,NA,35,NA,818,818,NA,757,61,5,5,NA,5,NA,58,58,NA,58,NA,537,537,NA,411,126,0,NA,0,0,NA,73,NA,73,52,21
M9 [CHILD IMMUNISATION],9.4.4,Child immunisation - OPV Booster,TOTAL,1551,1500,51,1270,281,73,73,NA,NA,73,35,35,NA,35,NA,792,792,NA,731,61,5,5,NA,5,NA,58,58,NA,58,NA,537,537,NA,411,126,0,NA,0,0,NA,51,NA,51,30,21
M9 [CHILD IMMUNISATION],9.4.5,"Child immunisation - Measles, Mumps, Rubella (MMR) Vaccine",TOTAL,115,20,95,60,55,NA,NA,NA,NA,NA,0,0,NA,0,NA,20,20,NA,20,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,1,NA,1,1,NA,94,NA,94,39,55
M9 [CHILD IMMUNISATION],9.4.6,Number of children more than 16 months of age who received Japanese Encephalitis (JE) vaccine,TOTAL,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA
M9 [CHILD IMMUNISATION],9.5.1,Child immunisation - Typhoid,TOTAL,222,80,142,76,146,80,80,NA,NA,80,0,0,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,NA,6,NA,6,6,NA,136,NA,136,70,66
M9 [CHILD IMMUNISATION],9.5.2,Children more than 5 years received DPT5 (2nd Booster),TOTAL,1072,1007,65,784,288,148,148,NA,NA,148,21,21,NA,21,NA,421,421,NA,389,32,2,2,NA,2,NA,41,41,NA,41,NA,374,374,NA,286,88,NA,NA,NA,NA,NA,65,NA,65,45,20
M9 [CHILD IMMUNISATION],9.5.3,Children more than 10 years received TT10,TOTAL,33,12,21,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,12,12,NA,12,NA,0,NA,0,0,NA,21,NA,21,21,NA
M9 [CHILD IMMUNISATION],9.5.4,Children more than 16 years received TT16,TOTAL,8,4,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,4,4,NA,4,NA,0,NA,0,0,NA,4,NA,4,4,NA
M9 [CHILD IMMUNISATION],9.6.1,Number of cases of AEFI - Abscess,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,0,0,NA
M9 [CHILD IMMUNISATION],9.6.2,Number of cases of AEFI - Death,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,0,0,NA
M9 [CHILD IMMUNISATION],9.6.3,Number of cases of AEFI - Others,TOTAL,1,1,0,0,1,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,1,1,NA,0,1,NA,NA,NA,NA,NA,0,NA,0,0,NA
M9 [CHILD IMMUNISATION],9.7.1,Immunisation sessions planned,TOTAL,598,570,28,543,55,8,8,NA,NA,8,24,24,NA,24,NA,290,290,NA,264,26,5,5,NA,5,NA,30,30,NA,30,NA,213,213,NA,192,21,NA,NA,NA,NA,NA,28,NA,28,28,NA
M9 [CHILD IMMUNISATION],9.7.2,Immunisation sessions held,TOTAL,588,561,27,533,55,8,8,NA,NA,8,22,22,NA,22,NA,287,287,NA,261,26,3,3,NA,3,NA,30,30,NA,30,NA,211,211,NA,190,21,NA,NA,NA,NA,NA,27,NA,27,27,NA
M9 [CHILD IMMUNISATION],9.7.3,Number of Immunisation sessions where ASHAs were present,TOTAL,393,393,0,372,21,0,0,NA,NA,0,NA,NA,NA,NA,NA,232,232,NA,232,NA,NA,NA,NA,NA,NA,21,21,NA,21,NA,140,140,NA,119,21,NA,NA,NA,NA,NA,0,NA,0,0,NA
M9 [CHILD IMMUNISATION],9.8.1,Child immunisation - Vitamin A Dose - 1,TOTAL,10,0,10,10,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,10,NA,10,10,NA
M9 [CHILD IMMUNISATION],9.8.2,Child immunisation - Vitamin A Dose - 5,TOTAL,6,0,6,6,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,6,NA,6,6,NA
M9 [CHILD IMMUNISATION],9.8.3,Child immunisation - Vitamin A Dose - 9,TOTAL,6,0,6,6,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,6,NA,6,6,NA
M9 [CHILD IMMUNISATION],9.9,Number of children (6-59 months) provided 8-10 doses (1ml) of IFA syrup (Bi weekly),TOTAL,2,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,2,NA,2,2,NA
M9 [CHILD IMMUNISATION],9.1,Number of children (12-59 months) provided Albendazole,TOTAL,829,826,3,80,749,12,12,NA,NA,12,NA,NA,NA,NA,NA,320,320,NA,40,280,5,5,NA,5,NA,NA,NA,NA,NA,NA,489,489,NA,32,457,3,NA,3,3,NA,0,NA,0,0,NA
M9 [CHILD IMMUNISATION],9.11,Number of severely underweight children provided Health Checkup (0-5 yrs),TOTAL,6,6,0,1,5,5,5,NA,NA,5,NA,NA,NA,NA,NA,0,0,NA,0,0,1,1,NA,1,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA
M10 [Number of cases of Childhood Diseases (0-5 years)],10.1,Childhood Diseases - Pneumonia,TOTAL,184,97,87,80,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,56,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,41,NA,NA,41,2,NA,2,2,NA,85,NA,85,78,7
M10 [Number of cases of Childhood Diseases (0-5 years)],10.2,Childhood Diseases - Asthma,TOTAL,25,1,24,24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,2,NA,22,NA,22,22,0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.3,Childhood Diseases - Sepsis,TOTAL,11,9,2,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,2,NA,2,0,2
M10 [Number of cases of Childhood Diseases (0-5 years)],10.4,Childhood Diseases - Diphtheria,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.5,Childhood Diseases - Pertussis,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.6,Childhood Diseases - Tetanus Neonatorum,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.7,Childhood Diseases - Tuberculosis (TB),TOTAL,5,4,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.8,Childhood Diseases - Acute Flaccid Paralysis(AFP),TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.9,Childhood Diseases - Measles,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.1,Childhood Diseases - Malaria,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.11,Childhood Diseases - Diarrhoea,TOTAL,753,657,96,197,556,7,7,NA,NA,7,NA,NA,NA,NA,NA,570,570,NA,110,460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,80,NA,NA,80,1,NA,1,1,NA,95,NA,95,86,9
M10 [Number of cases of Childhood Diseases (0-5 years)],10.12,Childhood Diseases - Diarrhoea treated in Inpatients,TOTAL,41,12,29,21,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,28,NA,28,20,8
M10 [Number of cases of Childhood Diseases (0-5 years)],10.13,Children admitted with upper respiratory infections,TOTAL,36,3,33,24,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,32,NA,32,23,9
M10 [Number of cases of Childhood Diseases (0-5 years)],10.14,Childhood Diseases - Severe Acute Malnutrition (SAM),TOTAL,5,5,0,0,5,4,4,NA,NA,4,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,0,0,NA,0,NA,0,0,0
M11 [NVBDCP],11.1.1.a,Total Blood Smears Examined for Malaria,TOTAL,577,85,492,119,458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,85,NA,3,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,14,14,NA,478,NA,478,102,376
M11 [NVBDCP],11.1.1.b,Malaria (Microscopy Tests ) - Plasmodium Vivax test positive,TOTAL,5,0,5,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,5,NA,5,3,2
M11 [NVBDCP],11.1.1.c,Malaria (Microscopy Tests ) - Plasmodium Falciparum test positive,TOTAL,2,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,2,NA,2,0,2
M11 [NVBDCP],11.1.2.a,RDT conducted for Malaria,TOTAL,279,98,181,151,128,2,2,NA,NA,2,NA,NA,NA,NA,NA,96,96,NA,NA,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,7,7,NA,174,NA,174,144,30
