Indicator,S.No.,Parameters,Type,SubDistrict - _South - Total [(A+B) or (C+D)],SubDistrict - _South - Public [A],SubDistrict - _South - Private [B],SubDistrict - _South - Urban [C],SubDistrict - _South - Rural [D],SubDistrict - Autonomous - Total [(A+B) or (C+D)],SubDistrict - Autonomous - Public [A],SubDistrict - Autonomous - Private [B],SubDistrict - Autonomous - Urban [C],SubDistrict - Autonomous - Rural [D],SubDistrict - CGHS - Total [(A+B) or (C+D)],SubDistrict - CGHS - Public [A],SubDistrict - CGHS - Private [B],SubDistrict - CGHS - Urban [C],SubDistrict - CGHS - Rural [D],SubDistrict - Delhi Govt - Total [(A+B) or (C+D)],SubDistrict - Delhi Govt - Public [A],SubDistrict - Delhi Govt - Private [B],SubDistrict - Delhi Govt - Urban [C],SubDistrict - Delhi Govt - Rural [D],SubDistrict - ESI - Total [(A+B) or (C+D)],SubDistrict - ESI - Public [A],SubDistrict - ESI - Private [B],SubDistrict - ESI - Urban [C],SubDistrict - ESI - Rural [D],SubDistrict - IPP VIII-MCD - Total [(A+B) or (C+D)],SubDistrict - IPP VIII-MCD - Public [A],SubDistrict - IPP VIII-MCD - Private [B],SubDistrict - IPP VIII-MCD - Urban [C],SubDistrict - IPP VIII-MCD - Rural [D],SubDistrict - MCW Centres MCD - Total [(A+B) or (C+D)],SubDistrict - MCW Centres MCD - Public [A],SubDistrict - MCW Centres MCD - Private [B],SubDistrict - MCW Centres MCD - Urban [C],SubDistrict - MCW Centres MCD - Rural [D],SubDistrict - Private - Total [(A+B) or (C+D)],SubDistrict - Private - Public [A],SubDistrict - Private - Private [B],SubDistrict - Private - Urban [C],SubDistrict - Private - Rural [D]
M8 [Family Planning],8.17.4,Failures following female sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M8 [Family Planning],8.17.5,Deaths following male sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M8 [Family Planning],8.17.6,Deaths following female sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M9 [CHILD IMMUNISATION],9.1.1,Child immunisation - Vitamin K1 (Birth Dose),TOTAL,585,234,351,248,337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234,234,NA,NA,234,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,NA,351,NA,351,248,103
M9 [CHILD IMMUNISATION],9.1.2,Child immunisation - BCG,TOTAL,946,586,360,373,573,196,196,NA,NA,196,NA,NA,NA,NA,NA,302,302,NA,62,240,0,0,NA,0,NA,13,13,NA,13,NA,75,75,NA,46,29,360,NA,360,252,108
M9 [CHILD IMMUNISATION],9.1.3,Child immunisation - DPT1,TOTAL,85,3,82,75,10,0,0,NA,NA,0,0,0,NA,0,NA,2,2,NA,1,1,0,0,NA,0,NA,0,0,NA,0,NA,1,1,NA,1,0,82,NA,82,73,9
M9 [CHILD IMMUNISATION],9.1.4,Child immunisation - DPT2,TOTAL,50,2,48,45,5,0,0,NA,NA,0,0,0,NA,0,NA,1,1,NA,1,0,0,0,NA,0,NA,0,0,NA,0,NA,1,1,NA,1,0,48,NA,48,43,5
M9 [CHILD IMMUNISATION],9.1.5,Child immunisation - DPT3,TOTAL,57,11,46,54,3,0,0,NA,NA,0,0,0,NA,0,NA,8,8,NA,8,0,2,2,NA,2,NA,0,0,NA,0,NA,1,1,NA,1,0,46,NA,46,43,3
M9 [CHILD IMMUNISATION],9.1.6,Child immunisation - Pentavalent 1,TOTAL,1451,1321,130,1024,427,106,106,NA,NA,106,26,26,NA,26,NA,637,637,NA,476,161,5,5,NA,5,NA,80,80,NA,80,NA,467,467,NA,332,135,130,NA,130,105,25
M9 [CHILD IMMUNISATION],9.1.7,Child immunisation - Pentavalent 2,TOTAL,1535,1448,87,1265,270,84,84,NA,NA,84,30,30,NA,30,NA,685,685,NA,637,48,2,2,NA,2,NA,75,75,NA,75,NA,572,572,NA,443,129,87,NA,87,78,9
M9 [CHILD IMMUNISATION],9.1.8,Child immunisation - Pentavalent 3,TOTAL,1613,1542,71,1232,381,93,93,NA,NA,93,23,23,NA,23,NA,793,793,NA,642,151,3,3,NA,3,NA,68,68,NA,68,NA,562,562,NA,430,132,71,NA,71,66,5
M9 [CHILD IMMUNISATION],9.1.9,Child immunisation - OPV 0 (Birth Dose),TOTAL,803,460,343,249,554,194,194,NA,NA,194,0,0,NA,0,NA,249,249,NA,9,240,0,0,NA,0,NA,0,0,NA,0,NA,17,17,NA,5,12,343,NA,343,235,108
M9 [CHILD IMMUNISATION],9.1.10,Child immunisation - OPV1,TOTAL,1406,1322,84,994,412,106,106,NA,NA,106,24,24,NA,24,NA,640,640,NA,478,162,5,5,NA,5,NA,80,80,NA,80,NA,467,467,NA,332,135,84,NA,84,75,9
M9 [CHILD IMMUNISATION],9.1.11,Child immunisation - OPV2,TOTAL,1517,1452,65,1251,266,84,84,NA,NA,84,30,30,NA,30,NA,689,689,NA,641,48,2,2,NA,2,NA,75,75,NA,75,NA,572,572,NA,443,129,65,NA,65,60,5
M9 [CHILD IMMUNISATION],9.1.12,Child immunisation - OPV3,TOTAL,1606,1551,55,1227,379,93,93,NA,NA,93,23,23,NA,23,NA,800,800,NA,649,151,4,4,NA,4,NA,68,68,NA,68,NA,563,563,NA,431,132,55,NA,55,52,3
M9 [CHILD IMMUNISATION],9.1.13,Child immunisation - Hepatitis-B0 (Birth Dose),TOTAL,773,431,342,239,534,193,193,NA,NA,193,NA,NA,NA,NA,NA,223,223,NA,3,220,0,0,NA,0,NA,0,0,NA,0,NA,15,15,NA,2,13,342,NA,342,234,108
M9 [CHILD IMMUNISATION],9.1.14,Child immunisation - Hepatitis-B1,TOTAL,67,0,67,67,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,67,NA,67,67,0
M9 [CHILD IMMUNISATION],9.1.15,Child immunisation - Hepatitis-B2,TOTAL,53,0,53,52,1,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,53,NA,53,52,1
M9 [CHILD IMMUNISATION],9.1.16,Child immunisation - Hepatitis-B3,TOTAL,33,0,33,31,2,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,33,NA,33,31,2
M9 [CHILD IMMUNISATION],9.1.17,Child immunisation - Inactivated Polio Vaccine 1 (IPV 1),TOTAL,1465,1306,159,970,495,106,106,NA,NA,106,22,22,NA,22,NA,639,639,NA,478,161,2,2,NA,2,NA,80,80,NA,80,NA,457,457,NA,332,125,159,NA,159,56,103
M9 [CHILD IMMUNISATION],9.1.18,Child immunisation - Inactivated Polio Vaccine 2 (IPV 2),TOTAL,1635,1555,80,1244,391,92,92,NA,NA,92,16,16,NA,16,NA,816,816,NA,657,159,2,2,NA,2,NA,68,68,NA,68,NA,561,561,NA,430,131,80,NA,80,71,9
M9 [CHILD IMMUNISATION],9.1.19,Child immunisation - Rotavirus 1,TOTAL,125,0,125,97,28,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,NA,125,NA,125,97,28
M9 [CHILD IMMUNISATION],9.1.20,Child immunisation - Rotavirus 2,TOTAL,92,0,92,80,12,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,NA,92,NA,92,80,12
M9 [CHILD IMMUNISATION],9.1.21,Child immunisation - Rotavirus 3,TOTAL,70,0,70,62,8,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,NA,70,NA,70,62,8
M9 [CHILD IMMUNISATION],9.2.1,Child immunisation (9-11months) - Measles & Rubella (MR)- 1st Dose,TOTAL,1487,1414,73,1159,328,95,95,NA,NA,95,6,6,NA,6,NA,692,692,NA,597,95,3,3,NA,3,NA,75,75,NA,75,NA,543,543,NA,405,138,73,NA,73,73,0
M9 [CHILD IMMUNISATION],9.2.2,Child immunisation (9-11months) - Measles 1st dose,TOTAL,38,18,20,38,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,18,18,NA,18,NA,0,0,NA,0,NA,0,0,NA,0,NA,20,NA,20,20,0
M9 [CHILD IMMUNISATION],9.2.3,Child immunisation (9-11months) - JE 1st dose,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0
M9 [CHILD IMMUNISATION],9.2.4.a,Children aged between 9 and 11 months fully immunized- Male,TOTAL,704,674,30,558,146,14,14,NA,NA,14,4,4,NA,4,NA,375,375,NA,319,56,3,3,NA,3,NA,41,41,NA,41,NA,237,237,NA,161,76,30,NA,30,30,0
M9 [CHILD IMMUNISATION],9.2.4.b,Children aged between 9 and 11 months fully immunized - Female,TOTAL,607,578,29,492,115,14,14,NA,NA,14,2,2,NA,2,NA,315,315,NA,276,39,1,1,NA,1,NA,34,34,NA,34,NA,212,212,NA,150,62,29,NA,29,29,0
M9 [CHILD IMMUNISATION],9.3.1,Child immunisation - Measles & Rubella (MR)- 1st Dose,TOTAL,100,87,13,69,31,28,28,NA,NA,28,10,10,NA,10,NA,22,22,NA,22,0,NA,NA,NA,NA,NA,2,2,NA,2,NA,25,25,NA,22,3,13,NA,13,13,0
M9 [CHILD IMMUNISATION],9.3.2,Child immunisation - Measles-1st dose,TOTAL,12,0,12,12,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,NA,12,NA,12,12,0
M9 [CHILD IMMUNISATION],9.3.3,Child immunisation - JE 1st dose,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0
M9 [CHILD IMMUNISATION],9.4.1,Child immunisation - Measles & Rubella (MR)- 2nd Dose (16-24 months),TOTAL,1261,1250,11,1123,138,32,32,NA,NA,32,0,0,NA,0,NA,676,676,NA,676,0,0,0,NA,0,NA,23,23,NA,23,NA,519,519,NA,413,106,11,NA,11,11,0
M9 [CHILD IMMUNISATION],9.4.2,Child immunisation - Measles 2nd dose (More than 16 months),TOTAL,26,18,8,26,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,18,18,NA,18,NA,0,0,NA,0,NA,8,NA,8,8,0
M9 [CHILD IMMUNISATION],9.4.3,Child immunisation - DPT 1st Booster,TOTAL,2005,1907,98,1627,378,82,82,NA,NA,82,29,29,NA,29,NA,983,983,NA,878,105,8,8,NA,8,NA,70,70,NA,70,NA,735,735,NA,563,172,98,NA,98,79,19
M9 [CHILD IMMUNISATION],9.4.4,Child immunisation - OPV Booster,TOTAL,2048,1963,85,1631,417,121,121,NA,NA,121,29,29,NA,29,NA,983,983,NA,878,105,8,8,NA,8,NA,87,87,NA,87,NA,735,735,NA,563,172,85,NA,85,66,19
M9 [CHILD IMMUNISATION],9.4.5,"Child immunisation - Measles, Mumps, Rubella (MMR) Vaccine",TOTAL,637,533,104,403,234,69,69,NA,NA,69,24,24,NA,24,NA,243,243,NA,138,105,0,0,NA,0,NA,64,64,NA,64,NA,133,133,NA,98,35,104,NA,104,79,25
M9 [CHILD IMMUNISATION],9.4.6,Number of children more than 16 months of age who received Japanese Encephalitis (JE) vaccine,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0
M9 [CHILD IMMUNISATION],9.5.1,Child immunisation - Typhoid,TOTAL,175,35,140,116,59,33,33,NA,NA,33,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,2,2,NA,2,0,140,NA,140,114,26
M9 [CHILD IMMUNISATION],9.5.2,Children more than 5 years received DPT5 (2nd Booster),TOTAL,881,817,64,705,176,60,60,NA,NA,60,29,29,NA,29,NA,392,392,NA,353,39,1,1,NA,1,NA,37,37,NA,37,NA,298,298,NA,232,66,64,NA,64,53,11
M9 [CHILD IMMUNISATION],9.5.3,Children more than 10 years received TT10,TOTAL,282,253,29,211,71,30,30,NA,NA,30,16,16,NA,16,NA,133,133,NA,104,29,6,6,NA,6,NA,11,11,NA,11,NA,57,57,NA,45,12,29,NA,29,29,0
M9 [CHILD IMMUNISATION],9.5.4,Children more than 16 years received TT16,TOTAL,108,91,17,92,16,3,3,NA,NA,3,18,18,NA,18,NA,42,42,NA,31,11,2,2,NA,2,NA,18,18,NA,18,NA,8,8,NA,6,2,17,NA,17,17,0
M9 [CHILD IMMUNISATION],9.6.1,Number of cases of AEFI - Abscess,TOTAL,1,1,0,1,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,1,1,NA,1,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,0,NA,0,0,0
M9 [CHILD IMMUNISATION],9.6.2,Number of cases of AEFI - Death,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,0,NA,0,0,0
M9 [CHILD IMMUNISATION],9.6.3,Number of cases of AEFI - Others,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,0,NA,0,0,0
M9 [CHILD IMMUNISATION],9.7.1,Immunisation sessions planned,TOTAL,499,462,37,463,36,8,8,NA,NA,8,26,26,NA,26,NA,193,193,NA,193,NA,4,4,NA,4,NA,32,32,NA,32,NA,199,199,NA,171,28,37,NA,37,37,0
M9 [CHILD IMMUNISATION],9.7.2,Immunisation sessions held,TOTAL,494,458,36,458,36,8,8,NA,NA,8,25,25,NA,25,NA,193,193,NA,193,NA,4,4,NA,4,NA,32,32,NA,32,NA,196,196,NA,168,28,36,NA,36,36,0
M9 [CHILD IMMUNISATION],9.7.3,Number of Immunisation sessions where ASHAs were present,TOTAL,326,326,0,304,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164,164,NA,164,0,NA,NA,NA,NA,NA,23,23,NA,23,NA,139,139,NA,117,22,0,NA,0,0,0
M9 [CHILD IMMUNISATION],9.8.1,Child immunisation - Vitamin A Dose - 1,TOTAL,1415,1391,24,1082,333,93,93,NA,NA,93,6,6,NA,6,NA,655,655,NA,560,95,7,7,NA,7,NA,79,79,NA,79,NA,551,551,NA,406,145,24,NA,24,24,0
M9 [CHILD IMMUNISATION],9.8.2,Child immunisation - Vitamin A Dose - 5,TOTAL,1441,1431,10,1060,381,52,52,NA,NA,52,2,2,NA,2,NA,580,580,NA,275,305,30,30,NA,30,NA,56,56,NA,56,NA,711,711,NA,687,24,10,NA,10,10,0
M9 [CHILD IMMUNISATION],9.8.3,Child immunisation - Vitamin A Dose - 9,TOTAL,598,591,7,284,314,67,67,NA,NA,67,4,4,NA,4,NA,403,403,NA,156,247,8,8,NA,8,NA,10,10,NA,10,NA,99,99,NA,99,0,7,NA,7,7,0
M9 [CHILD IMMUNISATION],9.9,Number of children (6-59 months) provided 8-10 doses (1ml) of IFA syrup (Bi weekly),TOTAL,5,3,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,3,3,NA,3,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,2,NA,2,2,NA
M9 [CHILD IMMUNISATION],9.1,Number of children (12-59 months) provided Albendazole,TOTAL,479,479,0,123,356,14,14,NA,NA,14,NA,NA,NA,NA,NA,154,154,NA,44,110,5,5,NA,5,NA,NA,NA,NA,NA,NA,306,306,NA,74,232,0,NA,0,0,NA
M9 [CHILD IMMUNISATION],9.11,Number of severely underweight children provided Health Checkup (0-5 yrs),TOTAL,6,6,0,0,6,3,3,NA,NA,3,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,0,3,0,NA,0,0,0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.1,Childhood Diseases - Pneumonia,TOTAL,58,27,31,25,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,23,NA,0,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,4,31,NA,31,25,6
M10 [Number of cases of Childhood Diseases (0-5 years)],10.2,Childhood Diseases - Asthma,TOTAL,33,5,28,28,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,28,28,0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.3,Childhood Diseases - Sepsis,TOTAL,8,7,1,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,NA,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1
M10 [Number of cases of Childhood Diseases (0-5 years)],10.4,Childhood Diseases - Diphtheria,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.5,Childhood Diseases - Pertussis,TOTAL,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1
M10 [Number of cases of Childhood Diseases (0-5 years)],10.6,Childhood Diseases - Tetanus Neonatorum,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.7,Childhood Diseases - Tuberculosis (TB),TOTAL,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.8,Childhood Diseases - Acute Flaccid Paralysis(AFP),TOTAL,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.9,Childhood Diseases - Measles,TOTAL,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.1,Childhood Diseases - Malaria,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.11,Childhood Diseases - Diarrhoea,TOTAL,831,725,106,237,594,8,8,NA,NA,8,NA,NA,NA,NA,NA,517,517,NA,142,375,NA,NA,NA,NA,NA,0,0,NA,0,NA,200,200,NA,NA,200,106,NA,106,95,11
M10 [Number of cases of Childhood Diseases (0-5 years)],10.12,Childhood Diseases - Diarrhoea treated in Inpatients,TOTAL,75,18,57,46,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,18,NA,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,57,46,11
M10 [Number of cases of Childhood Diseases (0-5 years)],10.13,Children admitted with upper respiratory infections,TOTAL,21,1,20,17,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,20,17,3
M10 [Number of cases of Childhood Diseases (0-5 years)],10.14,Childhood Diseases - Severe Acute Malnutrition (SAM),TOTAL,9,8,1,1,8,3,3,NA,NA,3,NA,NA,NA,NA,NA,3,3,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,2,1,NA,1,1,0
M11 [NVBDCP],11.1.1.a,Total Blood Smears Examined for Malaria,TOTAL,679,196,483,137,542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196,196,NA,54,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,483,NA,483,83,400
M11 [NVBDCP],11.1.1.b,Malaria (Microscopy Tests ) - Plasmodium Vivax test positive,TOTAL,4,2,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,1,1
M11 [NVBDCP],11.1.1.c,Malaria (Microscopy Tests ) - Plasmodium Falciparum test positive,TOTAL,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1
M11 [NVBDCP],11.1.2.a,RDT conducted for Malaria,TOTAL,365,242,123,65,300,2,2,NA,NA,2,NA,NA,NA,NA,NA,160,160,NA,NA,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,80,NA,NA,80,123,NA,123,65,58
M11 [NVBDCP],11.1.2.b,Malaria (RDT) - Plasmodium Vivax test positive,TOTAL,2,2,0,0,2,2,2,NA,NA,2,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M11 [NVBDCP],11.1.2.c,Malaria (RDT) - Plamodium Falciparum test positive,TOTAL,1,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,0
M11 [NVBDCP],11.2.1,Kala Azar (RDT) - Tests Conducted,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M11 [NVBDCP],11.2.2,Kala Azar Positive Cases,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M11 [NVBDCP],11.2.3,Post-kala-azar dermal leishmaniasis (PKDL) cases,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M11 [NVBDCP],11.3.1,Dengue - RDT Test Positive,TOTAL,40,0,40,3,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,40,3,37
M11 [NVBDCP],11.3.2,Dengue - Enzyme- Linked Immuno Sorbent Assay (ELISA) Test Positive,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M11 [NVBDCP],11.4.1,Tests Conducted for JE,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M11 [NVBDCP],11.4.2,Tests Positive for JE,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M12 [Adolscent Health],12.1.1.a,Girls registered in AFHC,TOTAL,63,63,0,20,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,41,NA,3,38,2,2,NA,2,NA,NA,NA,NA,NA,NA,20,20,NA,15,5,0,NA,0,0,0
M12 [Adolscent Health],12.1.1.b,Boys registered in AFHC,TOTAL,14,14,0,13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,4,NA,2,2,NA,2,NA,NA,NA,NA,NA,NA,8,8,NA,7,1,0,NA,0,0,0
M12 [Adolscent Health],12.1.2.a,"Out of registered, Girls received clinical services",TOTAL,47,47,0,20,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,25,NA,3,22,2,2,NA,2,NA,NA,NA,NA,NA,NA,20,20,NA,15,5,0,NA,0,0,0
M12 [Adolscent Health],12.1.2.b,"Out of registered, Boys received clinical services",TOTAL,14,14,0,13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,4,NA,2,2,NA,2,NA,NA,NA,NA,NA,NA,8,8,NA,7,1,0,NA,0,0,0
M12 [Adolscent Health],12.1.3.a,"Out of registered, Girls received counselling",TOTAL,60,60,0,17,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,38,NA,NA,38,2,2,NA,2,NA,NA,NA,NA,NA,NA,20,20,NA,15,5,0,NA,0,0,0
M12 [Adolscent Health],12.1.3.b,"Out of registered, Boys received counselling",TOTAL,10,10,0,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,NA,NA,NA,NA,8,8,NA,7,1,0,NA,0,0,0
"M13 [Directly Observed Treatment, Short-course (DOTS)]",13.1,Number of on-going DOTS patients registered,TOTAL,420,408,12,420,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,407,407,NA,407,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,12,12,0
"M13 [Directly Observed Treatment, Short-course (DOTS)]",13.2,Number of DOTS cases completed successfully,TOTAL,131,131,0,131,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,71,NA,71,NA,60,60,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
