Indicator,S.No.,Parameters,Type,SubDistrict - _South - Total [(A+B) or (C+D)],SubDistrict - _South - Public [A],SubDistrict - _South - Private [B],SubDistrict - _South - Urban [C],SubDistrict - _South - Rural [D],SubDistrict - Autonomous - Total [(A+B) or (C+D)],SubDistrict - Autonomous - Public [A],SubDistrict - Autonomous - Private [B],SubDistrict - Autonomous - Urban [C],SubDistrict - Autonomous - Rural [D],SubDistrict - CGHS - Total [(A+B) or (C+D)],SubDistrict - CGHS - Public [A],SubDistrict - CGHS - Private [B],SubDistrict - CGHS - Urban [C],SubDistrict - CGHS - Rural [D],SubDistrict - Delhi Govt - Total [(A+B) or (C+D)],SubDistrict - Delhi Govt - Public [A],SubDistrict - Delhi Govt - Private [B],SubDistrict - Delhi Govt - Urban [C],SubDistrict - Delhi Govt - Rural [D],SubDistrict - ESI - Total [(A+B) or (C+D)],SubDistrict - ESI - Public [A],SubDistrict - ESI - Private [B],SubDistrict - ESI - Urban [C],SubDistrict - ESI - Rural [D],SubDistrict - IPP VIII-MCD - Total [(A+B) or (C+D)],SubDistrict - IPP VIII-MCD - Public [A],SubDistrict - IPP VIII-MCD - Private [B],SubDistrict - IPP VIII-MCD - Urban [C],SubDistrict - IPP VIII-MCD - Rural [D],SubDistrict - MCW Centres MCD - Total [(A+B) or (C+D)],SubDistrict - MCW Centres MCD - Public [A],SubDistrict - MCW Centres MCD - Private [B],SubDistrict - MCW Centres MCD - Urban [C],SubDistrict - MCW Centres MCD - Rural [D],SubDistrict - NGO - Total [(A+B) or (C+D)],SubDistrict - NGO - Public [A],SubDistrict - NGO - Private [B],SubDistrict - NGO - Urban [C],SubDistrict - NGO - Rural [D],SubDistrict - Private - Total [(A+B) or (C+D)],SubDistrict - Private - Public [A],SubDistrict - Private - Private [B],SubDistrict - Private - Urban [C],SubDistrict - Private - Rural [D]
M8 [Family Planning],8.12,Number of Combined Oral Pill cycles distributed,TOTAL,918,916,2,744,174,63,63,NA,NA,63,11,11,NA,11,NA,434,434,NA,368,66,3,3,NA,3,NA,77,77,NA,77,NA,328,328,NA,283,45,NA,NA,NA,NA,NA,2,NA,2,2,0
M8 [Family Planning],8.13,Number of Condom pieces distributed,TOTAL,57358,57343,15,45958,11400,7100,7100,NA,NA,7100,1737,1737,NA,1737,NA,25765,25765,NA,23765,2000,500,500,NA,500,NA,4700,4700,NA,4700,NA,17541,17541,NA,15241,2300,NA,NA,NA,NA,NA,15,NA,15,15,0
M8 [Family Planning],8.14,Number of Centchroman (weekly) pill strips distributed,TOTAL,389,389,0,313,76,0,0,NA,NA,0,3,3,NA,3,NA,279,279,NA,211,68,1,1,NA,1,NA,48,48,NA,48,NA,58,58,NA,50,8,NA,NA,NA,NA,NA,0,NA,0,0,0
M8 [Family Planning],8.15,Number of Emergency Contraceptive Pills (ECP) given,TOTAL,258,253,5,222,36,3,3,NA,NA,3,2,2,NA,2,NA,140,140,NA,112,28,0,0,NA,0,NA,21,21,NA,21,NA,87,87,NA,82,5,NA,NA,NA,NA,NA,5,NA,5,5,0
M8 [Family Planning],8.16,Number of Pregnancy Test Kits (PTK) used,TOTAL,1557,1456,101,1484,73,0,0,NA,NA,0,NA,NA,NA,NA,NA,781,781,NA,781,NA,0,0,NA,0,NA,120,120,NA,120,NA,555,555,NA,482,73,NA,NA,NA,NA,NA,101,NA,101,101,0
M8 [Family Planning],8.17.1,Complications following male sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,0
M8 [Family Planning],8.17.2,Complications following female sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,0
M8 [Family Planning],8.17.3,Failures following male sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,0
M8 [Family Planning],8.17.4,Failures following female sterilization,TOTAL,1,1,0,0,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,0
M8 [Family Planning],8.17.5,Deaths following male sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,0
M8 [Family Planning],8.17.6,Deaths following female sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,0
M9 [CHILD IMMUNISATION],9.1.1,Child immunisation - Vitamin K1 (Birth Dose),TOTAL,1147,762,385,273,874,170,170,NA,NA,170,NA,NA,NA,NA,NA,592,592,NA,NA,592,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,385,NA,385,273,112
M9 [CHILD IMMUNISATION],9.1.2,Child immunisation - BCG,TOTAL,1312,921,391,410,902,166,166,NA,NA,166,NA,NA,NA,NA,NA,667,667,NA,78,589,0,0,NA,0,NA,19,19,NA,19,NA,69,69,NA,35,34,12,NA,12,12,NA,379,NA,379,266,113
M9 [CHILD IMMUNISATION],9.1.3,Child immunisation - DPT1,TOTAL,101,3,98,60,41,0,0,NA,NA,0,NA,NA,NA,NA,NA,1,1,NA,0,1,1,1,NA,1,NA,0,0,NA,0,NA,1,1,NA,1,0,NA,NA,NA,NA,NA,98,NA,98,58,40
M9 [CHILD IMMUNISATION],9.1.4,Child immunisation - DPT2,TOTAL,51,4,47,33,18,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,1,1,NA,1,NA,0,0,NA,0,NA,3,3,NA,3,0,NA,NA,NA,NA,NA,47,NA,47,29,18
M9 [CHILD IMMUNISATION],9.1.5,Child immunisation - DPT3,TOTAL,44,3,41,32,12,0,0,NA,NA,0,NA,NA,NA,NA,NA,1,1,NA,1,0,2,2,NA,2,NA,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,41,NA,41,29,12
M9 [CHILD IMMUNISATION],9.1.6,Child immunisation - Pentavalent 1,TOTAL,1689,1459,230,1241,448,117,117,NA,NA,117,19,19,NA,19,NA,735,735,NA,596,139,6,6,NA,6,NA,62,62,NA,62,NA,520,520,NA,343,177,6,NA,6,6,NA,224,NA,224,209,15
M9 [CHILD IMMUNISATION],9.1.7,Child immunisation - Pentavalent 2,TOTAL,1675,1581,94,1279,396,81,81,NA,NA,81,22,22,NA,22,NA,806,806,NA,671,135,4,4,NA,4,NA,94,94,NA,94,NA,574,574,NA,398,176,0,NA,0,0,NA,94,NA,94,90,4
M9 [CHILD IMMUNISATION],9.1.8,Child immunisation - Pentavalent 3,TOTAL,1892,1536,356,1560,332,76,76,NA,NA,76,24,24,NA,24,NA,808,808,NA,722,86,11,11,NA,11,NA,61,61,NA,61,NA,556,556,NA,389,167,0,NA,0,0,NA,356,NA,356,353,3
M9 [CHILD IMMUNISATION],9.1.9,Child immunisation - OPV 0 (Birth Dose),TOTAL,1204,797,407,327,877,165,165,NA,NA,165,NA,NA,NA,NA,NA,596,596,NA,15,581,0,0,NA,0,NA,10,10,NA,10,NA,26,26,NA,8,18,14,NA,14,14,NA,393,NA,393,280,113
M9 [CHILD IMMUNISATION],9.1.10,Child immunisation - OPV1,TOTAL,1658,1460,198,1184,474,117,117,NA,NA,117,19,19,NA,19,NA,736,736,NA,596,140,5,5,NA,5,NA,62,62,NA,62,NA,521,521,NA,344,177,0,NA,0,0,NA,198,NA,198,158,40
M9 [CHILD IMMUNISATION],9.1.11,Child immunisation - OPV2,TOTAL,1645,1584,61,1235,410,81,81,NA,NA,81,22,22,NA,22,NA,806,806,NA,671,135,5,5,NA,5,NA,94,94,NA,94,NA,576,576,NA,400,176,0,NA,0,0,NA,61,NA,61,43,18
M9 [CHILD IMMUNISATION],9.1.12,Child immunisation - OPV3,TOTAL,1583,1534,49,1242,341,76,76,NA,NA,76,24,24,NA,24,NA,809,809,NA,723,86,8,8,NA,8,NA,61,61,NA,61,NA,556,556,NA,389,167,0,NA,0,0,NA,49,NA,49,37,12
M9 [CHILD IMMUNISATION],9.1.13,Child immunisation - Hepatitis-B0 (Birth Dose),TOTAL,1174,786,388,291,883,164,164,NA,NA,164,NA,NA,NA,NA,NA,597,597,NA,5,592,0,0,NA,0,NA,10,10,NA,10,NA,15,15,NA,1,14,14,NA,14,14,NA,374,NA,374,261,113
M9 [CHILD IMMUNISATION],9.1.14,Child immunisation - Hepatitis-B1,TOTAL,153,70,83,84,69,69,69,NA,NA,69,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,1,1,NA,1,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,83,NA,83,83,0
M9 [CHILD IMMUNISATION],9.1.15,Child immunisation - Hepatitis-B2,TOTAL,37,1,36,35,2,1,1,NA,NA,1,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,36,NA,36,35,1
M9 [CHILD IMMUNISATION],9.1.16,Child immunisation - Hepatitis-B3,TOTAL,38,0,38,36,2,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,38,NA,38,36,2
M9 [CHILD IMMUNISATION],9.1.17,Child immunisation - Inactivated Polio Vaccine 1 (IPV 1),TOTAL,1572,1485,87,1124,448,117,117,NA,NA,117,28,28,NA,28,NA,752,752,NA,613,139,6,6,NA,6,NA,62,62,NA,62,NA,520,520,NA,343,177,NA,NA,NA,NA,NA,87,NA,87,72,15
M9 [CHILD IMMUNISATION],9.1.18,Child immunisation - Inactivated Polio Vaccine 2 (IPV 2),TOTAL,1609,1557,52,1276,333,76,76,NA,NA,76,37,37,NA,37,NA,826,826,NA,740,86,7,7,NA,7,NA,61,61,NA,61,NA,550,550,NA,383,167,NA,NA,NA,NA,NA,52,NA,52,48,4
M9 [CHILD IMMUNISATION],9.1.19,Child immunisation - Rotavirus 1,TOTAL,1581,1450,131,1098,483,117,117,NA,NA,117,13,13,NA,13,NA,733,733,NA,593,140,5,5,NA,5,NA,62,62,NA,62,NA,520,520,NA,343,177,3,NA,3,3,NA,128,NA,128,79,49
M9 [CHILD IMMUNISATION],9.1.20,Child immunisation - Rotavirus 2,TOTAL,1615,1512,103,1217,398,56,56,NA,NA,56,17,17,NA,17,NA,771,771,NA,636,135,3,3,NA,3,NA,94,94,NA,94,NA,571,571,NA,397,174,0,NA,0,0,NA,103,NA,103,70,33
M9 [CHILD IMMUNISATION],9.1.21,Child immunisation - Rotavirus 3,TOTAL,1464,1408,56,1185,279,22,22,NA,NA,22,9,9,NA,9,NA,776,776,NA,690,86,6,6,NA,6,NA,61,61,NA,61,NA,534,534,NA,371,163,0,NA,0,0,NA,56,NA,56,48,8
M9 [CHILD IMMUNISATION],9.2.1,Child immunisation (9-11months) - Measles & Rubella (MR)- 1st Dose,TOTAL,1315,1239,76,1049,266,66,66,NA,NA,66,52,52,NA,52,NA,618,618,NA,547,71,1,1,NA,1,NA,61,61,NA,61,NA,441,441,NA,312,129,NA,NA,NA,NA,NA,76,NA,76,76,0
M9 [CHILD IMMUNISATION],9.2.2,Child immunisation (9-11months) - Measles 1st dose,TOTAL,31,0,31,31,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,31,NA,31,31,0
M9 [CHILD IMMUNISATION],9.2.3,Child immunisation (9-11months) - JE 1st dose,TOTAL,3,0,3,3,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,3,NA
M9 [CHILD IMMUNISATION],9.2.4.a,Children aged between 9 and 11 months fully immunized- Male,TOTAL,684,622,62,551,133,9,9,NA,NA,9,18,18,NA,18,NA,333,333,NA,301,32,0,0,NA,0,NA,33,33,NA,33,NA,229,229,NA,155,74,0,NA,0,0,NA,62,NA,62,44,18
M9 [CHILD IMMUNISATION],9.2.4.b,Children aged between 9 and 11 months fully immunized - Female,TOTAL,605,549,56,483,122,6,6,NA,NA,6,22,22,NA,22,NA,283,283,NA,244,39,1,1,NA,1,NA,28,28,NA,28,NA,209,209,NA,154,55,0,NA,0,0,NA,56,NA,56,34,22
M9 [CHILD IMMUNISATION],9.3.1,Child immunisation - Measles & Rubella (MR)- 1st Dose,TOTAL,38,26,12,30,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,14,NA,10,4,0,0,NA,0,NA,2,2,NA,2,NA,10,10,NA,6,4,NA,NA,NA,NA,NA,12,NA,12,12,0
M9 [CHILD IMMUNISATION],9.3.2,Child immunisation - Measles-1st dose,TOTAL,8,3,5,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,3,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,5,NA,5,5,0
M9 [CHILD IMMUNISATION],9.3.3,Child immunisation - JE 1st dose,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA
M9 [CHILD IMMUNISATION],9.4.1,Child immunisation - Measles & Rubella (MR)- 2nd Dose (16-24 months),TOTAL,1520,1512,8,1232,288,75,75,NA,NA,75,22,22,NA,22,NA,761,761,NA,686,75,8,8,NA,8,NA,93,93,NA,93,NA,553,553,NA,415,138,NA,NA,NA,NA,NA,8,NA,8,8,0
M9 [CHILD IMMUNISATION],9.4.2,Child immunisation - Measles 2nd dose (More than 16 months),TOTAL,11,2,9,11,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,2,2,NA,2,NA,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,9,NA,9,9,0
M9 [CHILD IMMUNISATION],9.4.3,Child immunisation - DPT 1st Booster,TOTAL,1562,1480,82,1300,262,68,68,NA,NA,68,40,40,NA,40,NA,782,782,NA,706,76,6,6,NA,6,NA,93,93,NA,93,NA,491,491,NA,390,101,0,NA,0,0,NA,82,NA,82,65,17
M9 [CHILD IMMUNISATION],9.4.4,Child immunisation - OPV Booster,TOTAL,1553,1493,60,1294,259,78,78,NA,NA,78,40,40,NA,40,NA,782,782,NA,706,76,10,10,NA,10,NA,93,93,NA,93,NA,490,490,NA,402,88,0,NA,0,0,NA,60,NA,60,43,17
M9 [CHILD IMMUNISATION],9.4.5,"Child immunisation - Measles, Mumps, Rubella (MMR) Vaccine",TOTAL,130,0,130,77,53,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,NA,130,NA,130,77,53
M9 [CHILD IMMUNISATION],9.4.6,Number of children more than 16 months of age who received Japanese Encephalitis (JE) vaccine,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M9 [CHILD IMMUNISATION],9.5.1,Child immunisation - Typhoid,TOTAL,265,81,184,139,126,81,81,NA,NA,81,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,4,NA,4,4,NA,180,NA,180,135,45
M9 [CHILD IMMUNISATION],9.5.2,Children more than 5 years received DPT5 (2nd Booster),TOTAL,849,804,45,651,198,69,69,NA,NA,69,22,22,NA,22,NA,327,327,NA,294,33,1,1,NA,1,NA,39,39,NA,39,NA,346,346,NA,260,86,NA,NA,NA,NA,NA,45,NA,45,35,10
M9 [CHILD IMMUNISATION],9.5.3,Children more than 10 years received TT10,TOTAL,68,46,22,37,31,21,21,NA,NA,21,0,0,NA,0,NA,13,13,NA,3,10,NA,NA,NA,NA,NA,3,3,NA,3,NA,9,9,NA,9,NA,0,NA,0,0,NA,22,NA,22,22,0
M9 [CHILD IMMUNISATION],9.5.4,Children more than 16 years received TT16,TOTAL,21,7,14,16,5,5,5,NA,NA,5,0,0,NA,0,NA,1,1,NA,1,0,NA,NA,NA,NA,NA,1,1,NA,1,NA,0,0,NA,0,NA,0,NA,0,0,NA,14,NA,14,14,0
M9 [CHILD IMMUNISATION],9.6.1,Number of cases of AEFI - Abscess,TOTAL,2,2,0,0,2,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,2,2,NA,0,2,NA,NA,NA,NA,NA,0,NA,0,0,0
M9 [CHILD IMMUNISATION],9.6.2,Number of cases of AEFI - Death,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,0,0,0
M9 [CHILD IMMUNISATION],9.6.3,Number of cases of AEFI - Others,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,0,0,0
M9 [CHILD IMMUNISATION],9.7.1,Immunisation sessions planned,TOTAL,583,551,32,524,59,9,9,NA,NA,9,28,28,NA,28,NA,264,264,NA,238,26,6,6,NA,6,NA,42,42,NA,42,NA,202,202,NA,178,24,NA,NA,NA,NA,NA,32,NA,32,32,0
M9 [CHILD IMMUNISATION],9.7.2,Immunisation sessions held,TOTAL,569,539,30,510,59,9,9,NA,NA,9,27,27,NA,27,NA,262,262,NA,236,26,6,6,NA,6,NA,41,41,NA,41,NA,194,194,NA,170,24,NA,NA,NA,NA,NA,30,NA,30,30,NA
M9 [CHILD IMMUNISATION],9.7.3,Number of Immunisation sessions where ASHAs were present,TOTAL,374,374,0,350,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,200,NA,200,NA,NA,NA,NA,NA,NA,35,35,NA,35,NA,139,139,NA,115,24,NA,NA,NA,NA,NA,0,NA,0,0,0
M9 [CHILD IMMUNISATION],9.8.1,Child immunisation - Vitamin A Dose - 1,TOTAL,16,0,16,16,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,16,NA,16,16,0
M9 [CHILD IMMUNISATION],9.8.2,Child immunisation - Vitamin A Dose - 5,TOTAL,7,0,7,7,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,7,NA,7,7,0
M9 [CHILD IMMUNISATION],9.8.3,Child immunisation - Vitamin A Dose - 9,TOTAL,7,0,7,7,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,7,NA,7,7,0
M9 [CHILD IMMUNISATION],9.9,Number of children (6-59 months) provided 8-10 doses (1ml) of IFA syrup (Bi weekly),TOTAL,7,NA,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,7,7,NA
M9 [CHILD IMMUNISATION],9.1,Number of children (12-59 months) provided Albendazole,TOTAL,734,724,10,102,632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,257,257,NA,57,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,467,467,NA,35,432,0,NA,0,0,NA,10,NA,10,10,NA
M9 [CHILD IMMUNISATION],9.11,Number of severely underweight children provided Health Checkup (0-5 yrs),TOTAL,101,94,7,8,93,21,21,NA,NA,21,NA,NA,NA,NA,NA,0,0,NA,0,0,1,1,NA,1,NA,NA,NA,NA,NA,NA,72,72,NA,NA,72,NA,NA,NA,NA,NA,7,NA,7,7,0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.1,Childhood Diseases - Pneumonia,TOTAL,227,63,164,161,66,0,0,NA,NA,0,NA,NA,NA,NA,NA,53,53,NA,12,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,NA,NA,10,0,NA,0,0,NA,164,NA,164,149,15
M10 [Number of cases of Childhood Diseases (0-5 years)],10.2,Childhood Diseases - Asthma,TOTAL,35,0,35,35,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,35,NA,35,35,0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.3,Childhood Diseases - Sepsis,TOTAL,13,8,5,1,12,0,0,NA,NA,0,NA,NA,NA,NA,NA,8,8,NA,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,5,NA,5,1,4
M10 [Number of cases of Childhood Diseases (0-5 years)],10.4,Childhood Diseases - Diphtheria,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.5,Childhood Diseases - Pertussis,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.6,Childhood Diseases - Tetanus Neonatorum,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.7,Childhood Diseases - Tuberculosis (TB),TOTAL,3,3,0,0,3,0,0,NA,NA,0,NA,NA,NA,NA,NA,3,3,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.8,Childhood Diseases - Acute Flaccid Paralysis(AFP),TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.9,Childhood Diseases - Measles,TOTAL,3,3,0,1,2,0,0,NA,NA,0,NA,NA,NA,NA,NA,1,1,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,2,0,NA,0,0,NA,0,NA,0,0,0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.1,Childhood Diseases - Malaria,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.11,Childhood Diseases - Diarrhoea,TOTAL,919,748,171,243,676,2,2,NA,NA,2,NA,NA,NA,NA,NA,658,658,NA,78,580,NA,NA,NA,NA,NA,0,0,NA,0,NA,88,88,NA,NA,88,0,NA,0,0,NA,171,NA,171,165,6
M10 [Number of cases of Childhood Diseases (0-5 years)],10.12,Childhood Diseases - Diarrhoea treated in Inpatients,TOTAL,38,8,30,24,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,30,NA,30,24,6
M10 [Number of cases of Childhood Diseases (0-5 years)],10.13,Children admitted with upper respiratory infections,TOTAL,16,0,16,10,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,16,NA,16,10,6
M10 [Number of cases of Childhood Diseases (0-5 years)],10.14,Childhood Diseases - Severe Acute Malnutrition (SAM),TOTAL,20,20,0,0,20,3,3,NA,NA,3,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,17,NA,NA,17,0,NA,0,0,NA,0,NA,0,0,0
M11 [NVBDCP],11.1.1.a,Total Blood Smears Examined for Malaria,TOTAL,5684,9,5675,5262,422,8,8,NA,NA,8,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,18,18,NA,5657,NA,5657,5243,414
M11 [NVBDCP],11.1.1.b,Malaria (Microscopy Tests ) - Plasmodium Vivax test positive,TOTAL,1,0,1,0,1,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,1,NA,1,0,1
M11 [NVBDCP],11.1.1.c,Malaria (Microscopy Tests ) - Plasmodium Falciparum test positive,TOTAL,2,0,2,0,2,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,2,NA,2,0,2
M11 [NVBDCP],11.1.2.a,RDT conducted for Malaria,TOTAL,286,82,204,156,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,82,NA,0,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,15,15,NA,189,NA,189,141,48
M11 [NVBDCP],11.1.2.b,Malaria (RDT) - Plasmodium Vivax test positive,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,0
