Indicator,S.No.,Parameters,Type,SubDistrict - _South - Total [(A+B) or (C+D)],SubDistrict - _South - Public [A],SubDistrict - _South - Private [B],SubDistrict - _South - Urban [C],SubDistrict - _South - Rural [D],SubDistrict - Autonomous - Total [(A+B) or (C+D)],SubDistrict - Autonomous - Public [A],SubDistrict - Autonomous - Private [B],SubDistrict - Autonomous - Urban [C],SubDistrict - Autonomous - Rural [D],SubDistrict - CGHS - Total [(A+B) or (C+D)],SubDistrict - CGHS - Public [A],SubDistrict - CGHS - Private [B],SubDistrict - CGHS - Urban [C],SubDistrict - CGHS - Rural [D],SubDistrict - Delhi Govt - Total [(A+B) or (C+D)],SubDistrict - Delhi Govt - Public [A],SubDistrict - Delhi Govt - Private [B],SubDistrict - Delhi Govt - Urban [C],SubDistrict - Delhi Govt - Rural [D],SubDistrict - ESI - Total [(A+B) or (C+D)],SubDistrict - ESI - Public [A],SubDistrict - ESI - Private [B],SubDistrict - ESI - Urban [C],SubDistrict - ESI - Rural [D],SubDistrict - IPP VIII-MCD - Total [(A+B) or (C+D)],SubDistrict - IPP VIII-MCD - Public [A],SubDistrict - IPP VIII-MCD - Private [B],SubDistrict - IPP VIII-MCD - Urban [C],SubDistrict - IPP VIII-MCD - Rural [D],SubDistrict - MCW Centres MCD - Total [(A+B) or (C+D)],SubDistrict - MCW Centres MCD - Public [A],SubDistrict - MCW Centres MCD - Private [B],SubDistrict - MCW Centres MCD - Urban [C],SubDistrict - MCW Centres MCD - Rural [D],SubDistrict - NGO - Total [(A+B) or (C+D)],SubDistrict - NGO - Public [A],SubDistrict - NGO - Private [B],SubDistrict - NGO - Urban [C],SubDistrict - NGO - Rural [D],SubDistrict - Private - Total [(A+B) or (C+D)],SubDistrict - Private - Public [A],SubDistrict - Private - Private [B],SubDistrict - Private - Urban [C],SubDistrict - Private - Rural [D]
M8 [Family Planning],8.11,Injectable Contraceptive-Antara Program- Fourth or more than fourth,TOTAL,21,21,0,16,5,1,1,NA,NA,1,NA,NA,NA,NA,NA,14,14,NA,14,0,0,0,NA,0,NA,1,1,NA,1,NA,5,5,NA,1,4,NA,NA,NA,NA,NA,0,NA,0,0,NA
M8 [Family Planning],8.12,Number of Combined Oral Pill cycles distributed,TOTAL,908,892,16,739,169,72,72,NA,NA,72,5,5,NA,5,NA,459,459,NA,375,84,12,12,NA,12,NA,76,76,NA,76,NA,268,268,NA,255,13,NA,NA,NA,NA,NA,16,NA,16,16,NA
M8 [Family Planning],8.13,Number of Condom pieces distributed,TOTAL,55869,55849,20,42659,13210,6750,6750,NA,NA,6750,2095,2095,NA,2095,NA,26088,26088,NA,22088,4000,250,250,NA,250,NA,3307,3307,NA,3307,NA,17359,17359,NA,14899,2460,NA,NA,NA,NA,NA,20,NA,20,20,NA
M8 [Family Planning],8.14,Number of Centchroman (weekly) pill strips distributed,TOTAL,376,376,0,300,76,0,0,NA,NA,0,1,1,NA,1,NA,250,250,NA,200,50,NA,NA,NA,NA,NA,51,51,NA,51,NA,74,74,NA,48,26,NA,NA,NA,NA,NA,0,NA,0,0,NA
M8 [Family Planning],8.15,Number of Emergency Contraceptive Pills (ECP) given,TOTAL,193,191,2,169,24,9,9,NA,NA,9,0,0,NA,0,NA,108,108,NA,103,5,NA,NA,NA,NA,NA,10,10,NA,10,NA,64,64,NA,54,10,NA,NA,NA,NA,NA,2,NA,2,2,NA
M8 [Family Planning],8.16,Number of Pregnancy Test Kits (PTK) used,TOTAL,1370,1303,67,1300,70,0,0,NA,NA,0,NA,NA,NA,NA,NA,675,675,NA,675,NA,2,2,NA,2,NA,92,92,NA,92,NA,534,534,NA,464,70,NA,NA,NA,NA,NA,67,NA,67,67,NA
M8 [Family Planning],8.17.1,Complications following male sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,NA
M8 [Family Planning],8.17.2,Complications following female sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,NA
M8 [Family Planning],8.17.3,Failures following male sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,NA
M8 [Family Planning],8.17.4,Failures following female sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,NA
M8 [Family Planning],8.17.5,Deaths following male sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,NA
M8 [Family Planning],8.17.6,Deaths following female sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,NA
M9 [CHILD IMMUNISATION],9.1.1,Child immunisation - Vitamin K1 (Birth Dose),TOTAL,1159,724,435,309,850,220,220,NA,NA,220,NA,NA,NA,NA,NA,504,504,NA,NA,504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,NA,435,NA,435,309,126
M9 [CHILD IMMUNISATION],9.1.2,Child immunisation - BCG,TOTAL,1303,853,450,419,884,222,222,NA,NA,222,NA,NA,NA,NA,NA,531,531,NA,40,491,0,0,NA,0,NA,25,25,NA,25,NA,75,75,NA,38,37,9,NA,9,9,NA,441,NA,441,307,134
M9 [CHILD IMMUNISATION],9.1.3,Child immunisation - DPT1,TOTAL,115,14,101,77,38,0,0,NA,NA,0,2,2,NA,2,NA,4,4,NA,3,1,0,0,NA,0,NA,0,0,NA,0,NA,8,8,NA,5,3,NA,NA,NA,NA,NA,101,NA,101,67,34
M9 [CHILD IMMUNISATION],9.1.4,Child immunisation - DPT2,TOTAL,57,7,50,42,15,0,0,NA,NA,0,0,0,NA,0,NA,6,6,NA,6,0,0,0,NA,0,NA,0,0,NA,0,NA,1,1,NA,1,0,NA,NA,NA,NA,NA,50,NA,50,35,15
M9 [CHILD IMMUNISATION],9.1.5,Child immunisation - DPT3,TOTAL,42,3,39,33,9,0,0,NA,NA,0,0,0,NA,0,NA,1,1,NA,1,0,0,0,NA,0,NA,0,0,NA,0,NA,2,2,NA,2,0,NA,NA,NA,NA,NA,39,NA,39,30,9
M9 [CHILD IMMUNISATION],9.1.6,Child immunisation - Pentavalent 1,TOTAL,1809,1674,135,1268,541,125,125,NA,NA,125,23,23,NA,23,NA,817,817,NA,653,164,11,11,NA,11,NA,91,91,NA,91,NA,607,607,NA,364,243,3,NA,3,3,NA,132,NA,132,123,9
M9 [CHILD IMMUNISATION],9.1.7,Child immunisation - Pentavalent 2,TOTAL,1679,1589,90,1281,398,73,73,NA,NA,73,15,15,NA,15,NA,798,798,NA,684,114,5,5,NA,5,NA,89,89,NA,89,NA,609,609,NA,410,199,6,NA,6,6,NA,84,NA,84,72,12
M9 [CHILD IMMUNISATION],9.1.8,Child immunisation - Pentavalent 3,TOTAL,1395,1329,66,1065,330,81,81,NA,NA,81,23,23,NA,23,NA,665,665,NA,582,83,3,3,NA,3,NA,64,64,NA,64,NA,493,493,NA,328,165,3,NA,3,3,NA,63,NA,63,62,1
M9 [CHILD IMMUNISATION],9.1.9,Child immunisation - OPV 0 (Birth Dose),TOTAL,1198,755,443,339,859,219,219,NA,NA,219,NA,NA,NA,NA,NA,487,487,NA,4,483,0,0,NA,0,NA,18,18,NA,18,NA,31,31,NA,8,23,1,NA,1,1,NA,442,NA,442,308,134
M9 [CHILD IMMUNISATION],9.1.10,Child immunisation - OPV1,TOTAL,1806,1686,120,1232,574,125,125,NA,NA,125,23,23,NA,23,NA,821,821,NA,656,165,11,11,NA,11,NA,91,91,NA,91,NA,615,615,NA,365,250,10,NA,10,10,NA,110,NA,110,76,34
M9 [CHILD IMMUNISATION],9.1.11,Child immunisation - OPV2,TOTAL,1651,1584,67,1250,401,73,73,NA,NA,73,15,15,NA,15,NA,802,802,NA,688,114,5,5,NA,5,NA,89,89,NA,89,NA,600,600,NA,401,199,6,NA,6,6,NA,61,NA,61,46,15
M9 [CHILD IMMUNISATION],9.1.12,Child immunisation - OPV3,TOTAL,1381,1331,50,1043,338,81,81,NA,NA,81,23,23,NA,23,NA,665,665,NA,582,83,3,3,NA,3,NA,64,64,NA,64,NA,495,495,NA,330,165,0,NA,0,0,NA,50,NA,50,41,9
M9 [CHILD IMMUNISATION],9.1.13,Child immunisation - Hepatitis-B0 (Birth Dose),TOTAL,1257,832,425,308,949,295,295,NA,NA,295,NA,NA,NA,NA,NA,508,508,NA,4,504,0,0,NA,0,NA,10,10,NA,10,NA,19,19,NA,3,16,1,NA,1,1,NA,424,NA,424,290,134
M9 [CHILD IMMUNISATION],9.1.14,Child immunisation - Hepatitis-B1,TOTAL,70,0,70,69,1,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,70,NA,70,69,1
M9 [CHILD IMMUNISATION],9.1.15,Child immunisation - Hepatitis-B2,TOTAL,35,0,35,31,4,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,35,NA,35,31,4
M9 [CHILD IMMUNISATION],9.1.16,Child immunisation - Hepatitis-B3,TOTAL,29,0,29,29,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,29,NA,29,29,NA
M9 [CHILD IMMUNISATION],9.1.17,Child immunisation - Inactivated Polio Vaccine 1 (IPV 1),TOTAL,1760,1666,94,1220,540,124,124,NA,NA,124,18,18,NA,18,NA,817,817,NA,653,164,7,7,NA,7,NA,91,91,NA,91,NA,609,609,NA,366,243,NA,NA,NA,NA,NA,94,NA,94,85,9
M9 [CHILD IMMUNISATION],9.1.18,Child immunisation - Inactivated Polio Vaccine 2 (IPV 2),TOTAL,1397,1325,72,1062,335,78,78,NA,NA,78,20,20,NA,20,NA,671,671,NA,588,83,3,3,NA,3,NA,63,63,NA,63,NA,490,490,NA,328,162,NA,NA,NA,NA,NA,72,NA,72,60,12
M9 [CHILD IMMUNISATION],9.1.19,Child immunisation - Rotavirus 1,TOTAL,1700,1554,146,1213,487,31,31,NA,NA,31,16,16,NA,16,NA,807,807,NA,640,167,0,0,NA,0,NA,91,91,NA,91,NA,609,609,NA,366,243,1,NA,1,1,NA,145,NA,145,99,46
M9 [CHILD IMMUNISATION],9.1.20,Child immunisation - Rotavirus 2,TOTAL,1429,1340,89,1101,328,2,2,NA,NA,2,7,7,NA,7,NA,697,697,NA,590,107,0,0,NA,0,NA,87,87,NA,87,NA,547,547,NA,354,193,1,NA,1,1,NA,88,NA,88,62,26
M9 [CHILD IMMUNISATION],9.1.21,Child immunisation - Rotavirus 3,TOTAL,1013,949,64,792,221,5,5,NA,NA,5,2,2,NA,2,NA,482,482,NA,417,65,0,0,NA,0,NA,48,48,NA,48,NA,412,412,NA,270,142,2,NA,2,2,NA,62,NA,62,53,9
M9 [CHILD IMMUNISATION],9.2.1,Child immunisation (9-11months) - Measles & Rubella (MR)- 1st Dose,TOTAL,1683,1623,60,1337,346,76,76,NA,NA,76,47,47,NA,47,NA,797,797,NA,709,88,2,2,NA,2,NA,82,82,NA,82,NA,619,619,NA,437,182,NA,NA,NA,NA,NA,60,NA,60,60,NA
M9 [CHILD IMMUNISATION],9.2.2,Child immunisation (9-11months) - Measles 1st dose,TOTAL,18,0,18,18,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,18,NA,18,18,NA
M9 [CHILD IMMUNISATION],9.2.3,Child immunisation (9-11months) - JE 1st dose,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA
M9 [CHILD IMMUNISATION],9.2.4.a,Children aged between 9 and 11 months fully immunized- Male,TOTAL,897,862,35,737,160,9,9,NA,NA,9,25,25,NA,25,NA,433,433,NA,384,49,0,0,NA,0,NA,42,42,NA,42,NA,353,353,NA,251,102,0,NA,0,0,NA,35,NA,35,35,NA
M9 [CHILD IMMUNISATION],9.2.4.b,Children aged between 9 and 11 months fully immunized - Female,TOTAL,729,698,31,603,126,7,7,NA,NA,7,21,21,NA,21,NA,364,364,NA,325,39,0,0,NA,0,NA,40,40,NA,40,NA,266,266,NA,186,80,0,NA,0,0,NA,31,NA,31,31,NA
M9 [CHILD IMMUNISATION],9.3.1,Child immunisation - Measles & Rubella (MR)- 1st Dose,TOTAL,66,61,5,45,21,16,16,NA,NA,16,8,8,NA,8,NA,29,29,NA,25,4,NA,NA,NA,NA,NA,0,0,NA,0,NA,8,8,NA,7,1,NA,NA,NA,NA,NA,5,NA,5,5,NA
M9 [CHILD IMMUNISATION],9.3.2,Child immunisation - Measles-1st dose,TOTAL,1,0,1,1,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA
M9 [CHILD IMMUNISATION],9.3.3,Child immunisation - JE 1st dose,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA
M9 [CHILD IMMUNISATION],9.4.1,Child immunisation - Measles & Rubella (MR)- 2nd Dose (16-24 months),TOTAL,1355,1347,8,1099,256,64,64,NA,NA,64,11,11,NA,11,NA,748,748,NA,674,74,0,0,NA,0,NA,60,60,NA,60,NA,464,464,NA,346,118,NA,NA,NA,NA,NA,8,NA,8,8,NA
M9 [CHILD IMMUNISATION],9.4.2,Child immunisation - Measles 2nd dose (More than 16 months),TOTAL,14,0,14,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,14,NA,14,7,7
M9 [CHILD IMMUNISATION],9.4.3,Child immunisation - DPT 1st Booster,TOTAL,1436,1368,68,1201,235,35,35,NA,NA,35,19,19,NA,19,NA,767,767,NA,690,77,5,5,NA,5,NA,59,59,NA,59,NA,483,483,NA,367,116,0,NA,0,0,NA,68,NA,68,61,7
M9 [CHILD IMMUNISATION],9.4.4,Child immunisation - OPV Booster,TOTAL,1527,1415,112,1184,343,82,82,NA,NA,82,19,19,NA,19,NA,767,767,NA,690,77,5,5,NA,5,NA,59,59,NA,59,NA,483,483,NA,367,116,0,NA,0,0,NA,112,NA,112,44,68
M9 [CHILD IMMUNISATION],9.4.5,"Child immunisation - Measles, Mumps, Rubella (MMR) Vaccine",TOTAL,84,9,75,84,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,9,9,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,4,NA,4,4,NA,71,NA,71,71,NA
M9 [CHILD IMMUNISATION],9.4.6,Number of children more than 16 months of age who received Japanese Encephalitis (JE) vaccine,TOTAL,2,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,2,NA
M9 [CHILD IMMUNISATION],9.5.1,Child immunisation - Typhoid,TOTAL,238,69,169,96,142,69,69,NA,NA,69,0,0,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,NA,169,NA,169,96,73
M9 [CHILD IMMUNISATION],9.5.2,Children more than 5 years received DPT5 (2nd Booster),TOTAL,1032,959,73,834,198,NA,NA,NA,NA,NA,8,8,NA,8,NA,480,480,NA,418,62,0,0,NA,0,NA,52,52,NA,52,NA,419,419,NA,298,121,NA,NA,NA,NA,NA,73,NA,73,58,15
M9 [CHILD IMMUNISATION],9.5.3,Children more than 10 years received TT10,TOTAL,49,16,33,49,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,16,16,NA,16,0,0,NA,0,0,NA,33,NA,33,33,NA
M9 [CHILD IMMUNISATION],9.5.4,Children more than 16 years received TT16,TOTAL,10,1,9,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,1,1,NA,1,0,0,NA,0,0,NA,9,NA,9,9,NA
M9 [CHILD IMMUNISATION],9.6.1,Number of cases of AEFI - Abscess,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,0,0,NA
M9 [CHILD IMMUNISATION],9.6.2,Number of cases of AEFI - Death,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,0,0,NA
M9 [CHILD IMMUNISATION],9.6.3,Number of cases of AEFI - Others,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,0,NA,0,0,NA
M9 [CHILD IMMUNISATION],9.7.1,Immunisation sessions planned,TOTAL,545,516,29,487,58,9,9,NA,NA,9,24,24,NA,24,NA,248,248,NA,222,26,4,4,NA,4,NA,40,40,NA,40,NA,191,191,NA,168,23,NA,NA,NA,NA,NA,29,NA,29,29,NA
M9 [CHILD IMMUNISATION],9.7.2,Immunisation sessions held,TOTAL,541,514,27,483,58,9,9,NA,NA,9,22,22,NA,22,NA,249,249,NA,223,26,4,4,NA,4,NA,40,40,NA,40,NA,190,190,NA,167,23,NA,NA,NA,NA,NA,27,NA,27,27,NA
M9 [CHILD IMMUNISATION],9.7.3,Number of Immunisation sessions where ASHAs were present,TOTAL,374,374,0,351,23,0,0,NA,NA,0,NA,NA,NA,NA,NA,194,194,NA,194,NA,0,0,NA,0,NA,26,26,NA,26,NA,154,154,NA,131,23,NA,NA,NA,NA,NA,0,NA,0,0,NA
M9 [CHILD IMMUNISATION],9.8.1,Child immunisation - Vitamin A Dose - 1,TOTAL,9,0,9,9,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,9,NA,9,9,NA
M9 [CHILD IMMUNISATION],9.8.2,Child immunisation - Vitamin A Dose - 5,TOTAL,3,0,3,3,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,3,NA,3,3,NA
M9 [CHILD IMMUNISATION],9.8.3,Child immunisation - Vitamin A Dose - 9,TOTAL,2,0,2,2,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,2,NA,2,2,NA
M9 [CHILD IMMUNISATION],9.9,Number of children (6-59 months) provided 8-10 doses (1ml) of IFA syrup (Bi weekly),TOTAL,3,0,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,3,NA,3,3,NA
M9 [CHILD IMMUNISATION],9.1,Number of children (12-59 months) provided Albendazole,TOTAL,262,259,3,37,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208,208,NA,28,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,51,NA,6,45,NA,NA,NA,NA,NA,3,NA,3,3,NA
M9 [CHILD IMMUNISATION],9.11,Number of severely underweight children provided Health Checkup (0-5 yrs),TOTAL,236,236,0,8,228,13,13,NA,NA,13,NA,NA,NA,NA,NA,218,218,NA,8,210,0,0,NA,0,NA,NA,NA,NA,NA,NA,5,5,NA,0,5,NA,NA,NA,NA,NA,0,NA,0,0,NA
M10 [Number of cases of Childhood Diseases (0-5 years)],10.1,Childhood Diseases - Pneumonia,TOTAL,171,112,59,45,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,58,NA,0,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,54,NA,NA,54,5,NA,5,5,NA,54,NA,54,40,14
M10 [Number of cases of Childhood Diseases (0-5 years)],10.2,Childhood Diseases - Asthma,TOTAL,39,23,16,16,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,23,NA,0,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,16,NA,16,16,0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.3,Childhood Diseases - Sepsis,TOTAL,13,12,1,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,NA,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,1,NA,1,0,1
M10 [Number of cases of Childhood Diseases (0-5 years)],10.4,Childhood Diseases - Diphtheria,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.5,Childhood Diseases - Pertussis,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.6,Childhood Diseases - Tetanus Neonatorum,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.7,Childhood Diseases - Tuberculosis (TB),TOTAL,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.8,Childhood Diseases - Acute Flaccid Paralysis(AFP),TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.9,Childhood Diseases - Measles,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,0,0,NA,0,NA,0,0,0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.1,Childhood Diseases - Malaria,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.11,Childhood Diseases - Diarrhoea,TOTAL,443,330,113,160,283,10,10,NA,NA,10,NA,NA,NA,NA,NA,253,253,NA,57,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,67,NA,NA,67,4,NA,4,4,NA,109,NA,109,99,10
M10 [Number of cases of Childhood Diseases (0-5 years)],10.12,Childhood Diseases - Diarrhoea treated in Inpatients,TOTAL,53,16,37,28,25,0,0,NA,NA,0,NA,NA,NA,NA,NA,16,16,NA,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,37,NA,37,28,9
M10 [Number of cases of Childhood Diseases (0-5 years)],10.13,Children admitted with upper respiratory infections,TOTAL,38,7,31,26,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,NA,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,31,NA,31,26,5
M10 [Number of cases of Childhood Diseases (0-5 years)],10.14,Childhood Diseases - Severe Acute Malnutrition (SAM),TOTAL,6,6,0,0,6,6,6,NA,NA,6,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,0,0,NA,0,NA,0,0,0
M11 [NVBDCP],11.1.1.a,Total Blood Smears Examined for Malaria,TOTAL,1292,306,986,320,972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306,306,NA,NA,306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,30,30,NA,956,NA,956,290,666
M11 [NVBDCP],11.1.1.b,Malaria (Microscopy Tests ) - Plasmodium Vivax test positive,TOTAL,13,8,5,4,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,5,NA,5,4,1
M11 [NVBDCP],11.1.1.c,Malaria (Microscopy Tests ) - Plasmodium Falciparum test positive,TOTAL,3,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,3,NA,3,3,0
M11 [NVBDCP],11.1.2.a,RDT conducted for Malaria,TOTAL,633,281,352,300,333,1,1,NA,NA,1,NA,NA,NA,NA,NA,280,280,NA,NA,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,20,20,NA,332,NA,332,280,52
